from,to
RpL31,RpS10b
RpL31,RpS11
RpL31,RpS15
RpL31,RpS15Aa
RpL31,RpS16
RpL31,RpS2
RpL31,RpS21
RpL31,RpS23
RpL31,RpS25
RpL31,RpS26
RpL31,RpS27A
RpL31,RpS28b
RpL31,RpS3
RpL31,RpS30
RpL31,RpS4
RpL31,RpS8
RpL31,RpS9
RpL31,sta
RpL32,RpL5
RpL32,RpL7A
RpL32,RpL9
RpL32,RpLP2
RpL32,RpS14a
RpL32,RpS15Aa
RpL32,RpS17
RpL32,RpS19a
RpL32,RpS23
RpL32,RpS26
RpL32,RpS28b
RpL32,RpS3
RpL32,RpS30
RpL32,RpS6
RpL32,RpS8
RpL32,sta
RpL34b,RpL35A
RpL34b,RpL36A
RpL34b,RpL40
RpL34b,RpL6
RpL34b,RpL7
RpL34b,RpL7A
RpL34b,RpL9
RpL34b,RpLP1
RpL34b,RpS10b
RpL34b,RpS11
RpL34b,RpS15
RpL34b,RpS2
RpL34b,RpS20
RpL34b,RpS25
RpL34b,RpS28b
RpL34b,RpS29
RpL34b,RpS3A
RpL34b,RpS4
RpL34b,RpS8
RpL35,RpL36A
RpL35,RpL6
RpL35,RpL7
RpL35,RpS10b
RpL35,RpS15
RpL35,RpS16
RpL35,RpS21
RpL35,RpS25
RpL35,RpS26
RpL35,RpS27A
RpL35,RpS28b
RpL35,RpS3
RpL35,RpS8
RpL35A,RpL39
RpL35A,RpL7
RpL35A,RpLP0
RpL35A,RpLP2
RpL35A,RpS10b
RpL35A,RpS15
RpL35A,RpS25
RpL35A,RpS26
RpL35A,RpS27A
RpL35A,RpS28b
RpL35A,RpS3
RpL35A,RpS4
RpL35A,sta
RpL36A,RpL6
RpL36A,RpL7
RpL36A,RpL7A
RpL36A,RpL9
RpL36A,RpLP0
RpL36A,RpLP1
RpL36A,RpS10b
RpL36A,RpS11
RpL36A,RpS15
RpL36A,RpS16
RpL36A,RpS20
RpL36A,RpS25
RpL36A,RpS26
RpL36A,RpS27A
RpL36A,RpS28b
RpL36A,RpS29
RpL36A,RpS3
RpL36A,RpS4
RpL36A,RpS8
RpL36A,sta
RpL38,RpLP1
RpL38,RpS8
RpL39,RpL40
RpL39,RpL41
RpL39,RpL6
RpL39,RpL7A
RpL39,RpLP0
RpL39,RpLP2
RpL39,RpS16
RpL39,RpS28b
RpL39,RpS4
RpL39,RpS8
RpL4,RpL6
RpL4,RpLP1
RpL4,RpS15
RpL4,RpS15Aa
RpL4,RpS25
RpL4,RpS27A
RpL4,RpS8
RpL4,sta
RpL40,RpL7
RpL40,RpL9
RpL40,RpLP0
RpL40,RpS10b
RpL40,RpS20
RpL40,RpS3A
RpL40,RpS4
RpL40,RpS8
RpL40,sta
RpL41,RpL7A
RpL41,RpS15
RpL41,RpS17
RpL41,RpS2
RpL41,RpS25
RpL41,RpS26
RpL41,RpS27A
RpL41,RpS28b
RpL41,RpS8
RpL41,RpS9
RpL6,RpL7
RpL6,RpL7A
RpL6,RpLP1
RpL6,RpS10b
RpL6,RpS11
RpL6,RpS15
RpL6,RpS20
RpL6,RpS21
RpL6,RpS25
RpL6,RpS26
RpL6,RpS27A
RpL6,RpS28b
RpL6,RpS29
RpL6,RpS3
RpL6,RpS3A
RpL6,RpS8
RpL6,sta
RpL7,RpL7A
RpL7,RpLP1
RpL7,RpS10b
RpL7,RpS15
RpL7,RpS2
RpL7,RpS20
RpL7,RpS21
RpL7,RpS25
RpL7,RpS26
RpL7,RpS27A
RpL7,RpS29
RpL7,RpS3
RpL7,RpS3A
RpL7,RpS8
RpL7,sta
RpL7A,RpL8
RpL7A,RpLP1
RpL7A,RpLP2
RpL7A,RpS10b
RpL7A,RpS11
RpL7A,RpS15
RpL7A,RpS16
RpL7A,RpS23
RpL7A,RpS25
RpL7A,RpS26
RpL7A,RpS30
RpL7A,RpS3A
RpL7A,RpS8
RpL7A,RpS9
RpL7A,sta
RpL8,RpS25
RpL8,RpS26
RpL8,sta
RpL9,RpLP1
RpL9,RpLP2
RpL9,RpS10b
RpL9,RpS11
RpL9,RpS15
RpL9,RpS16
RpL9,RpS21
RpL9,RpS23
RpL9,RpS24
RpL9,RpS25
RpL9,RpS26
RpL9,RpS29
RpL9,RpS3
RpL9,RpS30
RpL9,RpS8
RpL9,sta
RpLP0,RpLP1
RpLP0,RpS10b
RpLP0,RpS15
RpLP0,RpS15Aa
RpLP0,RpS16
RpLP0,RpS20
RpLP0,RpS25
RpLP0,RpS26
RpLP0,RpS29
RpLP0,RpS3
RpLP0,RpS3A
RpLP0,sta
RpLP1,RpS10b
RpLP1,RpS11
RpLP1,RpS15
RpLP1,RpS15Aa
RpLP1,RpS2
RpLP1,RpS20
RpLP1,RpS21
RpLP1,RpS25
RpLP1,RpS26
RpLP1,RpS27A
RpLP1,RpS28b
RpLP1,RpS29
RpLP1,RpS3
RpLP1,RpS3A
RpLP1,RpS4
RpLP1,RpS8
RpLP1,sta
RpLP2,RpS16
RpLP2,RpS17
RpLP2,RpS20
RpLP2,RpS23
RpLP2,RpS26
RpLP2,RpS28b
RpLP2,RpS30
RpLP2,RpS8
RpLP2,RpS9
RpS10b,RpS15
RpS10b,RpS2
RpS10b,RpS20
RpS10b,RpS21
RpS10b,RpS25
RpS10b,RpS26
RpS10b,RpS27A
RpS10b,RpS28b
RpS10b,RpS29
RpS10b,RpS3
RpS10b,RpS3A
RpS10b,RpS4
RpS10b,RpS8
RpS10b,sta
RpS11,RpS15
RpS11,RpS20
RpS11,RpS21
RpS11,RpS25
RpS11,RpS26
RpS11,RpS27A
RpS11,RpS29
RpS11,RpS3
RpS11,RpS3A
RpS11,RpS4
RpS11,RpS8
RpS11,sta
RpS13,RpS17
RpS13,RpS28b
RpS14a,RpS17
RpS14a,RpS28b
RpS14a,RpS8
RpS15,RpS15Aa
RpS15,RpS2
RpS15,RpS20
RpS15,RpS21
RpS15,RpS25
RpS15,RpS26
RpS15,RpS27A
RpS15,RpS28b
RpS15,RpS29
RpS15,RpS3
RpS15,RpS3A
RpS15,RpS4
RpS15,RpS8
RpS15,sta
RpS15Aa,RpS16
RpS15Aa,RpS2
RpS15Aa,RpS20
RpS15Aa,RpS25
RpS15Aa,RpS26
RpS15Aa,RpS30
RpS15Aa,RpS4
RpS16,RpS17
RpS16,RpS23
RpS16,RpS24
RpS16,RpS25
RpS16,RpS26
RpS16,RpS27A
RpS16,RpS28b
RpS16,RpS3
RpS16,RpS30
RpS16,RpS3A
RpS16,RpS4
RpS16,RpS6
RpS16,RpS8
RpS16,RpS9
RpS16,sta
RpS17,RpS24
RpS17,RpS28b
RpS17,RpS30
RpS17,RpS8
RpS17,RpS9
RpS2,RpS25
RpS2,RpS27A
RpS2,RpS3
RpS2,RpS3A
RpS2,RpS8
RpS2,sta
RpS20,RpS21
RpS20,RpS25
RpS20,RpS26
RpS20,RpS27A
RpS20,RpS28b
RpS20,RpS29
RpS20,RpS3
RpS20,RpS3A
RpS20,RpS8
RpS20,sta
RpS21,RpS25
RpS21,RpS26
RpS21,RpS27A
RpS21,RpS28b
RpS21,RpS29
RpS21,RpS3
RpS21,RpS3A
RpS21,RpS4
RpS21,RpS8
RpS21,sta
RpS23,RpS26
RpS23,RpS28b
RpS23,RpS8
RpS25,RpS26
RpS25,RpS27A
RpS25,RpS28b
RpS25,RpS29
RpS25,RpS3
RpS25,RpS3A
RpS25,RpS4
RpS25,RpS8
RpS25,sta
RpS26,RpS28b
RpS26,RpS29
RpS26,RpS3
RpS26,RpS30
RpS26,RpS3A
RpS26,RpS8
RpS26,RpS9
RpS26,sta
RpS27A,RpS29
RpS27A,RpS4
RpS27A,RpS8
RpS27A,sta
RpS28b,RpS3
RpS28b,RpS4
RpS28b,RpS6
RpS28b,RpS8
RpS28b,sta
RpS29,RpS3
RpS29,sta
RpS3,RpS30
RpS3,RpS3A
RpS3,RpS4
RpS3,RpS8
RpS3,RpS9
RpS30,RpS8
RpS3A,RpS8
RpS3A,sta
RpS4,RpS8
RpS4,sta
RpS8,RpS9
RpS8,sta
RpS9,sta
