from,to,edge
14-3-3zeta,Mlf,1
14-3-3zeta,Mnn1,1
14-3-3zeta,Msp300,1
14-3-3zeta,mtd,1
14-3-3zeta,mts,1
14-3-3zeta,nAChRalpha5,1
14-3-3zeta,nAChRalpha6,1
14-3-3zeta,nAChRalpha7,1
14-3-3zeta,NaCP60E,1
14-3-3zeta,Nckx30C,1
14-3-3zeta,ND-B18,1
14-3-3zeta,Ndfip,1
14-3-3zeta,Nipped-B,1
14-3-3zeta,Nlg2,1
14-3-3zeta,nrv3,1
14-3-3zeta,nSyb,1
14-3-3zeta,Ntf-2,1
14-3-3zeta,Nxt1,1
14-3-3zeta,Obp44a,1
14-3-3zeta,para,1
14-3-3zeta,Pcd,1
14-3-3zeta,Pdcd4,1
14-3-3zeta,Pdp1,1
14-3-3zeta,Pfdn6,1
14-3-3zeta,Pgi,1
14-3-3zeta,Pgk,1
14-3-3zeta,Pglym78,1
14-3-3zeta,Pis,1
14-3-3zeta,Pka-R1,1
14-3-3zeta,Pka-R2,1
14-3-3zeta,Pkc98E,1
14-3-3zeta,PMCA,1
14-3-3zeta,porin,1
14-3-3zeta,Pp1alpha-96A,1
14-3-3zeta,PPP1R15,1
14-3-3zeta,ps,1
14-3-3zeta,PyK,1
14-3-3zeta,qkr58E-3,1
14-3-3zeta,qvr,1
14-3-3zeta,Rab14,1
14-3-3zeta,Rab2,1
14-3-3zeta,Rab3,1
14-3-3zeta,Rab5,1
14-3-3zeta,Rab7,1
14-3-3zeta,RabX4,1
14-3-3zeta,Rack1,1
14-3-3zeta,Rad23,1
14-3-3zeta,Rap1,1
14-3-3zeta,Rbp1-like,1
14-3-3zeta,Rbp6,1
14-3-3zeta,rdgB,1
14-3-3zeta,Rdl,1
14-3-3zeta,ReepA,1
14-3-3zeta,RhoGAP71E,1
14-3-3zeta,Ric,1
14-3-3zeta,ringer,1
14-3-3zeta,Rlip,1
14-3-3zeta,Rm62,1
14-3-3zeta,RNASEK,1
14-3-3zeta,robl,1
14-3-3zeta,Rop,1
14-3-3zeta,lncRNA:roX1,1
14-3-3zeta,RpL12,1
14-3-3zeta,RpL13,1
14-3-3zeta,RpL14,1
14-3-3zeta,RpL17,1
14-3-3zeta,RpL18,1
14-3-3zeta,RpL18A,1
14-3-3zeta,RpL21,1
14-3-3zeta,RpL22,1
14-3-3zeta,RpL23A,1
14-3-3zeta,RpL26,1
14-3-3zeta,RpL27,1
