from,to,edge
RpL10,RpLP1,1
RpL10,RpLP2,1
RpL10,RpS10b,1
RpL10,RpS11,1
RpL10,RpS12,1
RpL10,RpS13,1
RpL10,RpS15,1
RpL10,RpS15Aa,1
RpL10,RpS16,1
RpL10,RpS17,1
RpL10,RpS18,1
RpL10,RpS19a,1
RpL10,RpS2,1
RpL10,RpS20,1
RpL10,RpS21,1
RpL10,RpS23,1
RpL10,RpS24,1
RpL10,RpS25,1
RpL10,RpS26,1
RpL10,RpS27,1
RpL10,RpS27A,1
RpL10,RpS28b,1
RpL10,RpS29,1
RpL10,RpS3,1
RpL10,RpS30,1
RpL10,RpS3A,1
RpL10,RpS7,1
RpL10,RpS8,1
RpL10,Vha13,1
RpL10,eEF1alpha1,1
RpL10,eEF5,1
RpL10,sta,1
RpL10Ab,RpL12,1
RpL10Ab,RpL15,1
RpL10Ab,RpL18A,1
RpL10Ab,RpL19,1
RpL10Ab,RpL23,1
RpL10Ab,RpL24,1
RpL10Ab,RpL26,1
RpL10Ab,RpL27A,1
RpL10Ab,RpL28,1
RpL10Ab,RpL3,1
RpL10Ab,RpL32,1
RpL10Ab,RpL37a,1
RpL10Ab,RpL40,1
RpL10Ab,RpL41,1
RpL10Ab,RpL6,1
RpL10Ab,RpL7,1
RpL10Ab,RpL7A,1
RpL10Ab,RpLP1,1
RpL10Ab,RpS15,1
RpL10Ab,RpS16,1
RpL10Ab,RpS17,1
RpL10Ab,RpS21,1
RpL10Ab,RpS23,1
RpL10Ab,RpS25,1
RpL10Ab,RpS27,1
RpL10Ab,RpS30,1
RpL10Ab,RpS3A,1
RpL10Ab,RpS9,1
RpL10Ab,eEF1alpha1,1
RpL10Ab,sta,1
RpL11,RpL14,1
RpL11,RpL15,1
RpL11,RpL17,1
RpL11,RpL18,1
RpL11,RpL18A,1
RpL11,RpL21,1
RpL11,RpL24,1
RpL11,RpL27,1
RpL11,RpL27A,1
RpL11,RpL28,1
RpL11,RpL29,1
RpL11,RpL32,1
RpL11,RpL36A,1
RpL11,RpL37a,1
RpL11,RpL39,1
RpL11,RpL6,1
RpL11,RpL9,1
RpL11,RpLP0,1
RpL11,RpLP1,1
RpL11,RpS10b,1
RpL11,RpS12,1
RpL11,RpS13,1
RpL11,RpS16,1
RpL11,RpS17,1
RpL11,RpS18,1
RpL11,RpS20,1
RpL11,RpS21,1
RpL11,RpS23,1
RpL11,RpS24,1
RpL11,RpS26,1
RpL11,RpS27A,1
RpL11,RpS28b,1
RpL11,RpS29,1
RpL11,RpS3,1
RpL11,RpS8,1
RpL12,RpL13,1
RpL12,RpL13A,1
RpL12,RpL14,1
RpL12,RpL15,1
RpL12,RpL17,1
RpL12,RpL18,1
RpL12,RpL18A,1
RpL12,RpL19,1
RpL12,RpL21,1
RpL12,RpL23,1
RpL12,RpL24,1
RpL12,RpL26,1
RpL12,RpL27,1
RpL12,RpL27A,1
RpL12,RpL28,1
RpL12,RpL29,1
RpL12,RpL31,1
RpL12,RpL32,1
RpL12,RpL35,1
RpL12,RpL36A,1
RpL12,RpL37A,1
RpL12,RpL37a,1
RpL12,RpL39,1
RpL12,RpL40,1
RpL12,RpL41,1
RpL12,RpL6,1
RpL12,RpL7,1
RpL12,RpL7A,1
RpL12,RpL8,1
RpL12,RpL9,1
RpL12,RpLP1,1
RpL12,RpLP2,1
RpL12,RpS10b,1
RpL12,RpS12,1
RpL12,RpS13,1
RpL12,RpS14a,1
RpL12,RpS15,1
RpL12,RpS15Aa,1
RpL12,RpS16,1
RpL12,RpS17,1
RpL12,RpS18,1
RpL12,RpS2,1
RpL12,RpS20,1
RpL12,RpS21,1
RpL12,RpS23,1
RpL12,RpS24,1
RpL12,RpS25,1
RpL12,RpS26,1
RpL12,RpS27,1
RpL12,RpS27A,1
RpL12,RpS28b,1
RpL12,RpS29,1
RpL12,RpS30,1
RpL12,RpS3A,1
RpL12,RpS4,1
RpL12,RpS7,1
RpL12,RpS8,1
RpL12,RpS9,1
RpL12,eEF1alpha1,1
RpL12,sta,1
RpL13,RpL13A,1
RpL13,RpL14,1
RpL13,RpL15,1
RpL13,RpL17,1
RpL13,RpL18,1
RpL13,RpL19,1
RpL13,RpL21,1
RpL13,RpL23A,1
RpL13,RpL24,1
RpL13,RpL27A,1
RpL13,RpL28,1
RpL13,RpL31,1
RpL13,RpL32,1
RpL13,RpL36A,1
RpL13,RpL37A,1
RpL13,RpL37a,1
RpL13,RpL39,1
RpL13,RpL41,1
RpL13,RpL6,1
RpL13,RpL7,1
RpL13,RpL9,1
RpL13,RpLP1,1
RpL13,RpLP2,1
RpL13,RpS10b,1
RpL13,RpS11,1
RpL13,RpS15,1
RpL13,RpS15Aa,1
RpL13,RpS16,1
RpL13,RpS18,1
RpL13,RpS26,1
RpL13,RpS27,1
RpL13,RpS27A,1
RpL13,RpS29,1
RpL13,RpS3,1
RpL13,RpS3A,1
RpL13,RpS8,1
RpL13,RpS9,1
RpL13,eEF2,1
RpL13,sta,1
RpL13A,RpL14,1
RpL13A,RpL15,1
RpL13A,RpL18,1
RpL13A,RpL18A,1
RpL13A,RpL21,1
RpL13A,RpL23,1
RpL13A,RpL26,1
RpL13A,RpL27A,1
RpL13A,RpL28,1
RpL13A,RpL31,1
RpL13A,RpL35A,1
RpL13A,RpL37a,1
RpL13A,RpL4,1
RpL13A,RpL40,1
RpL13A,RpL41,1
RpL13A,RpL6,1
RpL13A,RpL7,1
RpL13A,RpL9,1
RpL13A,RpLP1,1
RpL13A,RpLP2,1
RpL13A,RpS10b,1
RpL13A,RpS11,1
RpL13A,RpS15,1
RpL13A,RpS15Aa,1
RpL13A,RpS16,1
RpL13A,RpS17,1
RpL13A,RpS18,1
RpL13A,RpS2,1
RpL13A,RpS20,1
RpL13A,RpS21,1
RpL13A,RpS25,1
RpL13A,RpS27,1
RpL13A,RpS27A,1
RpL13A,RpS3,1
RpL13A,RpS30,1
RpL13A,RpS3A,1
RpL13A,RpS4,1
RpL13A,RpS7,1
RpL13A,sta,1
RpL14,RpL15,1
RpL14,RpL17,1
RpL14,RpL18,1
RpL14,RpL18A,1
RpL14,RpL19,1
RpL14,RpL21,1
RpL14,RpL23,1
RpL14,RpL23A,1
RpL14,RpL24,1
RpL14,RpL26,1
RpL14,RpL28,1
RpL14,RpL31,1
RpL14,RpL32,1
RpL14,RpL34b,1
RpL14,RpL35A,1
RpL14,RpL36A,1
RpL14,RpL37A,1
RpL14,RpL37a,1
RpL14,RpL39,1
RpL14,RpL4,1
RpL14,RpL40,1
RpL14,RpL41,1
RpL14,RpL6,1
RpL14,RpL7,1
RpL14,RpL7A,1
RpL14,RpL9,1
RpL14,RpLP0,1
RpL14,RpLP1,1
RpL14,RpLP2,1
RpL14,RpS10b,1
RpL14,RpS11,1
RpL14,RpS12,1
RpL14,RpS15,1
RpL14,RpS15Aa,1
RpL14,RpS16,1
RpL14,RpS17,1
RpL14,RpS18,1
RpL14,RpS20,1
RpL14,RpS23,1
RpL14,RpS24,1
RpL14,RpS25,1
RpL14,RpS26,1
RpL14,RpS27,1
RpL14,RpS27A,1
RpL14,RpS28b,1
RpL14,RpS29,1
RpL14,RpS3,1
RpL14,RpS30,1
RpL14,RpS4,1
RpL14,RpS7,1
RpL14,RpS8,1
RpL15,RpL17,1
RpL15,RpL18,1
RpL15,RpL18A,1
RpL15,RpL19,1
RpL15,RpL21,1
RpL15,RpL23,1
RpL15,RpL23A,1
RpL15,RpL24,1
RpL15,RpL26,1
RpL15,RpL27,1
RpL15,RpL27A,1
RpL15,RpL28,1
RpL15,RpL31,1
RpL15,RpL32,1
RpL15,RpL34b,1
RpL15,RpL36,1
RpL15,RpL36A,1
RpL15,RpL37a,1
RpL15,RpL40,1
RpL15,RpL6,1
RpL15,RpL7,1
RpL15,RpL7A,1
RpL15,RpLP1,1
RpL15,RpS10b,1
RpL15,RpS11,1
RpL15,RpS12,1
RpL15,RpS16,1
RpL15,RpS17,1
RpL15,RpS18,1
RpL15,RpS19a,1
RpL15,RpS2,1
RpL15,RpS20,1
RpL15,RpS21,1
RpL15,RpS23,1
RpL15,RpS24,1
RpL15,RpS25,1
RpL15,RpS26,1
RpL15,RpS27,1
RpL15,RpS27A,1
RpL15,RpS28b,1
RpL15,RpS29,1
RpL15,RpS3A,1
RpL15,RpS4,1
RpL15,RpS6,1
RpL15,RpS7,1
RpL15,eEF2,1
RpL15,eEF5,1
RpL15,sta,1
RpL17,RpL18,1
RpL17,RpL18A,1
RpL17,RpL19,1
RpL17,RpL21,1
RpL17,RpL23,1
RpL17,RpL23A,1
RpL17,RpL26,1
RpL17,RpL27,1
RpL17,RpL27A,1
RpL17,RpL28,1
RpL17,RpL29,1
RpL17,RpL3,1
RpL17,RpL31,1
RpL17,RpL32,1
RpL17,RpL34b,1
RpL17,RpL35,1
RpL17,RpL35A,1
RpL17,RpL36,1
RpL17,RpL36A,1
RpL17,RpL37A,1
RpL17,RpL37a,1
RpL17,RpL39,1
RpL17,RpL41,1
RpL17,RpL5,1
RpL17,RpL6,1
RpL17,RpL7,1
RpL17,RpL7A,1
RpL17,RpL9,1
RpL17,RpLP0,1
RpL17,RpLP1,1
RpL17,RpLP2,1
RpL17,RpS10b,1
RpL17,RpS11,1
RpL17,RpS12,1
RpL17,RpS15,1
RpL17,RpS16,1
RpL17,RpS17,1
RpL17,RpS18,1
RpL17,RpS2,1
RpL17,RpS20,1
RpL17,RpS23,1
RpL17,RpS25,1
RpL17,RpS26,1
RpL17,RpS27,1
RpL17,RpS27A,1
RpL17,RpS28b,1
RpL17,RpS29,1
RpL17,RpS3,1
RpL17,RpS30,1
RpL17,RpS3A,1
RpL17,RpS4,1
RpL17,RpS7,1
RpL17,RpS9,1
RpL17,eEF1alpha1,1
RpL17,eEF2,1
RpL17,eEF5,1
RpL17,sta,1
RpL18,RpL18A,1
RpL18,RpL19,1
RpL18,RpL21,1
RpL18,RpL23,1
RpL18,RpL23A,1
RpL18,RpL24,1
RpL18,RpL26,1
RpL18,RpL27,1
RpL18,RpL27A,1
RpL18,RpL28,1
RpL18,RpL3,1
RpL18,RpL31,1
RpL18,RpL32,1
RpL18,RpL34b,1
RpL18,RpL35,1
RpL18,RpL35A,1
RpL18,RpL36,1
RpL18,RpL36A,1
RpL18,RpL37a,1
RpL18,RpL39,1
RpL18,RpL40,1
RpL18,RpL41,1
RpL18,RpL5,1
RpL18,RpL6,1
RpL18,RpL7,1
RpL18,RpL7A,1
RpL18,RpL8,1
RpL18,RpL9,1
RpL18,RpLP0,1
RpL18,RpLP1,1
RpL18,RpS10b,1
RpL18,RpS11,1
RpL18,RpS12,1
RpL18,RpS13,1
RpL18,RpS15,1
RpL18,RpS15Aa,1
RpL18,RpS16,1
RpL18,RpS17,1
RpL18,RpS18,1
RpL18,RpS19a,1
RpL18,RpS2,1
RpL18,RpS20,1
RpL18,RpS21,1
RpL18,RpS23,1
RpL18,RpS25,1
RpL18,RpS26,1
RpL18,RpS27,1
RpL18,RpS27A,1
RpL18,RpS28b,1
RpL18,RpS29,1
RpL18,RpS3,1
RpL18,RpS30,1
RpL18,RpS3A,1
RpL18,RpS7,1
RpL18,RpS8,1
RpL18,RpS9,1
RpL18,eEF1alpha1,1
RpL18,eEF2,1
RpL18,eEF5,1
RpL18,sta,1
RpL18A,RpL19,1
RpL18A,RpL21,1
RpL18A,RpL23,1
RpL18A,RpL23A,1
RpL18A,RpL24,1
RpL18A,RpL26,1
RpL18A,RpL27,1
RpL18A,RpL27A,1
RpL18A,RpL28,1
RpL18A,RpL31,1
RpL18A,RpL32,1
RpL18A,RpL34b,1
RpL18A,RpL35,1
RpL18A,RpL36,1
RpL18A,RpL36A,1
RpL18A,RpL37A,1
RpL18A,RpL37a,1
RpL18A,RpL39,1
RpL18A,RpL40,1
RpL18A,RpL41,1
RpL18A,RpL6,1
RpL18A,RpL7,1
RpL18A,RpL7A,1
RpL18A,RpL8,1
RpL18A,RpL9,1
RpL18A,RpLP0,1
RpL18A,RpLP1,1
RpL18A,RpLP2,1
RpL18A,RpS10b,1
RpL18A,RpS11,1
RpL18A,RpS12,1
RpL18A,RpS15,1
RpL18A,RpS15Aa,1
RpL18A,RpS16,1
RpL18A,RpS17,1
RpL18A,RpS18,1
RpL18A,RpS19a,1
RpL18A,RpS20,1
RpL18A,RpS21,1
RpL18A,RpS23,1
RpL18A,RpS24,1
RpL18A,RpS25,1
RpL18A,RpS26,1
RpL18A,RpS27,1
RpL18A,RpS27A,1
RpL18A,RpS28b,1
RpL18A,RpS29,1
RpL18A,RpS3,1
RpL18A,RpS30,1
RpL18A,RpS3A,1
RpL18A,RpS4,1
RpL18A,RpS7,1
RpL18A,RpS8,1
RpL18A,blw,1
RpL18A,eEF1alpha1,1
RpL18A,eEF5,1
RpL18A,sta,1
RpL19,RpL21,1
RpL19,RpL23,1
RpL19,RpL24,1
RpL19,RpL26,1
RpL19,RpL27,1
RpL19,RpL28,1
RpL19,RpL32,1
RpL19,RpL34b,1
RpL19,RpL35,1
RpL19,RpL36A,1
RpL19,RpL37A,1
RpL19,RpL37a,1
RpL19,RpL39,1
RpL19,RpL4,1
RpL19,RpL40,1
RpL19,RpL41,1
RpL19,RpL6,1
RpL19,RpL7,1
RpL19,RpL7A,1
RpL19,RpL8,1
RpL19,RpL9,1
RpL19,RpLP0,1
RpL19,RpLP1,1
RpL19,RpLP2,1
RpL19,RpS10b,1
RpL19,RpS11,1
RpL19,RpS12,1
RpL19,RpS15,1
RpL19,RpS15Aa,1
RpL19,RpS16,1
RpL19,RpS17,1
RpL19,RpS18,1
RpL19,RpS2,1
RpL19,RpS20,1
RpL19,RpS21,1
RpL19,RpS23,1
RpL19,RpS24,1
RpL19,RpS25,1
RpL19,RpS26,1
RpL19,RpS27,1
RpL19,RpS27A,1
RpL19,RpS28b,1
RpL19,RpS29,1
RpL19,RpS3,1
RpL19,RpS30,1
RpL19,RpS3A,1
RpL19,RpS4,1
RpL19,RpS8,1
RpL19,RpS9,1
RpL19,eEF1alpha1,1
RpL19,eEF2,1
RpL19,eEF5,1
RpL19,sta,1
RpL21,RpL23,1
RpL21,RpL23A,1
RpL21,RpL24,1
RpL21,RpL26,1
RpL21,RpL28,1
RpL21,RpL31,1
RpL21,RpL32,1
RpL21,RpL34b,1
RpL21,RpL35,1
RpL21,RpL35A,1
RpL21,RpL36,1
RpL21,RpL36A,1
RpL21,RpL37A,1
RpL21,RpL37a,1
RpL21,RpL39,1
RpL21,RpL4,1
RpL21,RpL40,1
RpL21,RpL41,1
RpL21,RpL6,1
RpL21,RpL7,1
RpL21,RpL7A,1
RpL21,RpL9,1
RpL21,RpLP1,1
RpL21,RpLP2,1
RpL21,RpS10b,1
RpL21,RpS11,1
RpL21,RpS12,1
RpL21,RpS15,1
RpL21,RpS15Aa,1
RpL21,RpS16,1
RpL21,RpS17,1
RpL21,RpS18,1
RpL21,RpS19a,1
RpL21,RpS20,1
RpL21,RpS21,1
RpL21,RpS23,1
RpL21,RpS24,1
RpL21,RpS25,1
RpL21,RpS26,1
RpL21,RpS27,1
RpL21,RpS27A,1
RpL21,RpS28b,1
RpL21,RpS29,1
RpL21,RpS3,1
RpL21,RpS30,1
RpL21,RpS3A,1
RpL21,RpS7,1
RpL21,RpS8,1
RpL21,RpS9,1
RpL21,eEF1alpha1,1
RpL21,eEF2,1
RpL21,sta,1
RpL23,RpL24,1
RpL23,RpL26,1
RpL23,RpL27,1
RpL23,RpL27A,1
RpL23,RpL28,1
RpL23,RpL31,1
RpL23,RpL32,1
RpL23,RpL35,1
RpL23,RpL36A,1
RpL23,RpL37A,1
RpL23,RpL37a,1
RpL23,RpL39,1
RpL23,RpL4,1
RpL23,RpL40,1
RpL23,RpL41,1
RpL23,RpL6,1
RpL23,RpL7,1
RpL23,RpL7A,1
RpL23,RpL9,1
RpL23,RpLP1,1
RpL23,RpLP2,1
RpL23,RpS10b,1
RpL23,RpS11,1
RpL23,RpS12,1
RpL23,RpS15,1
RpL23,RpS15Aa,1
RpL23,RpS16,1
RpL23,RpS17,1
RpL23,RpS18,1
RpL23,RpS20,1
RpL23,RpS21,1
RpL23,RpS23,1
RpL23,RpS24,1
RpL23,RpS25,1
RpL23,RpS26,1
RpL23,RpS27,1
RpL23,RpS27A,1
RpL23,RpS28b,1
RpL23,RpS29,1
RpL23,RpS3,1
RpL23,RpS30,1
RpL23,RpS3A,1
RpL23,RpS4,1
RpL23,RpS6,1
RpL23,RpS7,1
RpL23,RpS8,1
RpL23,blw,1
RpL23,eEF1alpha1,1
RpL23,eEF5,1
RpL23A,RpL27,1
RpL23A,RpL27A,1
RpL23A,RpL28,1
RpL23A,RpL29,1
RpL23A,RpL3,1
RpL23A,RpL31,1
RpL23A,RpL35A,1
RpL23A,RpL36A,1
RpL23A,RpL37A,1
RpL23A,RpL37a,1
RpL23A,RpL39,1
RpL23A,RpL4,1
RpL23A,RpL40,1
RpL23A,RpL41,1
RpL23A,RpL6,1
RpL23A,RpL7,1
RpL23A,RpL9,1
RpL23A,RpLP0,1
RpL23A,RpLP1,1
RpL23A,RpLP2,1
RpL23A,RpS10b,1
RpL23A,RpS12,1
RpL23A,RpS15,1
RpL23A,RpS16,1
RpL23A,RpS20,1
RpL23A,RpS21,1
RpL23A,RpS26,1
RpL23A,RpS27,1
RpL23A,RpS27A,1
RpL23A,RpS29,1
RpL23A,RpS7,1
RpL23A,sta,1
RpL24,RpL26,1
RpL24,RpL27,1
RpL24,RpL27A,1
RpL24,RpL28,1
RpL24,RpL29,1
RpL24,RpL3,1
RpL24,RpL31,1
RpL24,RpL32,1
RpL24,RpL34b,1
RpL24,RpL35A,1
RpL24,RpL36,1
RpL24,RpL36A,1
RpL24,RpL37A,1
RpL24,RpL37a,1
RpL24,RpL38,1
RpL24,RpL39,1
RpL24,RpL4,1
RpL24,RpL40,1
RpL24,RpL41,1
RpL24,RpL7,1
RpL24,RpL9,1
RpL24,RpLP0,1
RpL24,RpLP1,1
RpL24,RpS10b,1
RpL24,RpS11,1
RpL24,RpS12,1
RpL24,RpS15,1
RpL24,RpS15Aa,1
RpL24,RpS16,1
RpL24,RpS17,1
RpL24,RpS18,1
RpL24,RpS20,1
RpL24,RpS21,1
RpL24,RpS23,1
RpL24,RpS24,1
RpL24,RpS25,1
RpL24,RpS26,1
RpL24,RpS27,1
RpL24,RpS27A,1
RpL24,RpS28b,1
RpL24,RpS29,1
RpL24,RpS3,1
RpL24,RpS30,1
RpL24,RpS7,1
RpL24,RpS8,1
RpL24,RpS9,1
RpL24,eEF1alpha1,1
RpL24,eEF2,1
RpL26,RpL27,1
RpL26,RpL27A,1
RpL26,RpL28,1
RpL26,RpL29,1
RpL26,RpL31,1
RpL26,RpL32,1
RpL26,RpL34b,1
RpL26,RpL35,1
RpL26,RpL35A,1
RpL26,RpL36A,1
RpL26,RpL37A,1
RpL26,RpL37a,1
RpL26,RpL38,1
RpL26,RpL39,1
RpL26,RpL40,1
RpL26,RpL41,1
RpL26,RpL6,1
RpL26,RpL7,1
RpL26,RpL7A,1
RpL26,RpL9,1
RpL26,RpLP1,1
RpL26,RpLP2,1
RpL26,RpS10b,1
RpL26,RpS11,1
RpL26,RpS12,1
RpL26,RpS13,1
RpL26,RpS14a,1
RpL26,RpS15,1
RpL26,RpS15Aa,1
RpL26,RpS16,1
RpL26,RpS17,1
RpL26,RpS18,1
RpL26,RpS19a,1
RpL26,RpS2,1
RpL26,RpS20,1
RpL26,RpS21,1
RpL26,RpS23,1
RpL26,RpS24,1
RpL26,RpS25,1
RpL26,RpS26,1
RpL26,RpS27,1
RpL26,RpS27A,1
RpL26,RpS28b,1
RpL26,RpS29,1
RpL26,RpS30,1
RpL26,RpS4,1
RpL26,RpS7,1
RpL26,RpS8,1
RpL26,sta,1
RpL27,RpL27A,1
RpL27,RpL28,1
RpL27,RpL29,1
RpL27,RpL31,1
RpL27,RpL32,1
RpL27,RpL34b,1
RpL27,RpL35A,1
RpL27,RpL36A,1
RpL27,RpL37A,1
RpL27,RpL37a,1
RpL27,RpL39,1
RpL27,RpL40,1
RpL27,RpL41,1
RpL27,RpL6,1
RpL27,RpL7,1
RpL27,RpL7A,1
RpL27,RpL9,1
RpL27,RpLP1,1
RpL27,RpLP2,1
RpL27,RpS10b,1
RpL27,RpS12,1
RpL27,RpS15,1
RpL27,RpS16,1
RpL27,RpS17,1
RpL27,RpS18,1
RpL27,RpS19a,1
RpL27,RpS20,1
RpL27,RpS21,1
RpL27,RpS23,1
RpL27,RpS24,1
RpL27,RpS25,1
RpL27,RpS26,1
RpL27,RpS27,1
RpL27,RpS27A,1
RpL27,RpS29,1
RpL27,RpS3,1
RpL27,RpS30,1
RpL27,RpS3A,1
RpL27,RpS7,1
RpL27,eEF2,1
RpL27A,RpL28,1
RpL27A,RpL29,1
RpL27A,RpL3,1
RpL27A,RpL31,1
RpL27A,RpL32,1
RpL27A,RpL35,1
RpL27A,RpL35A,1
RpL27A,RpL36,1
RpL27A,RpL36A,1
RpL27A,RpL37A,1
RpL27A,RpL37a,1
RpL27A,RpL39,1
RpL27A,RpL40,1
RpL27A,RpL41,1
RpL27A,RpL6,1
RpL27A,RpL7,1
RpL27A,RpL7A,1
RpL27A,RpL9,1
RpL27A,RpLP0,1
RpL27A,RpLP1,1
RpL27A,RpLP2,1
RpL27A,RpS10b,1
RpL27A,RpS11,1
RpL27A,RpS12,1
RpL27A,RpS15,1
