PPI,Positive_environment_number,SD,H2O2,Hydroxyurea,Doxorubicin,Forskolin,Raffinose,NaCl,Cold_16C,FK506
YHR094C_YIL009W,2,1,0,1,0,0,0,0,0,0
YGL202W_YLR432W,5,1,1,1,0,1,1,0,0,0
YLR027C_YPR028W,6,1,1,1,1,0,1,0,1,0
YEL017C-A_YHR001W,8,1,1,1,1,1,1,1,0,1
YGR159C_YNL112W,3,1,0,1,0,0,0,1,0,0
YJR088C_YJR010C-A,9,1,1,1,1,1,1,1,1,1
YCL025C_YML016C,3,1,1,0,0,0,1,0,0,0
YEL017C-A_YML019W,6,1,1,1,0,1,1,0,0,1
YHR146W_YCR021C,5,1,1,1,1,1,0,0,0,0
YCR021C_YGR060W,1,1,0,0,0,0,0,0,0,0
YEL017C-A_YHR175W,9,1,1,1,1,1,1,1,1,1
YGR130C_YCR021C,5,1,1,0,1,1,0,1,0,0
YPL127C_YPR052C,8,1,1,1,1,1,1,1,0,1
YJL002C_YML055W,9,1,1,1,1,1,1,1,1,1
YEL017C-A_YOR002W,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YBL102W,8,1,1,1,1,1,1,1,0,1
YKL212W_YPR113W,8,1,1,1,1,1,1,1,0,1
YOR204W_YHR063C,3,1,0,1,1,0,0,0,0,0
YEL031W_YGR105W,9,1,1,1,1,1,1,1,1,1
YDR011W_YGR138C,1,1,0,0,0,0,0,0,0,0
YGR083C_YKR026C,8,1,1,1,1,1,1,1,0,1
YML018C_YDR264C,5,1,1,1,1,1,0,0,0,0
YGR082W_YML086C,7,1,1,1,0,1,1,1,0,1
YER053C-A_YEL002C,4,1,1,0,0,0,0,1,1,0
YDR068W_YDR264C,8,1,1,1,1,1,1,1,0,1
YHR007C_YML012W,9,1,1,1,1,1,1,1,1,1
YGL077C_YPL246C,8,1,1,1,1,1,1,0,1,1
YCR021C_YML012W,2,1,1,0,0,0,0,0,0,0
YHR007C_YLR056W,8,1,1,1,1,1,1,1,0,1
YDL109C_YOR042W,6,1,1,1,1,0,1,0,0,1
YBR011C_YGR054W,3,1,0,1,0,0,1,0,0,0
YOL012C_YPR052C,8,1,1,1,1,1,1,1,0,1
YHR007C_YHR042W,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YBR177C,4,1,0,0,0,0,1,0,1,1
YLL012W_YJL151C,5,1,1,1,0,1,0,0,0,1
YER070W_YKL067W,7,1,1,1,1,1,1,0,0,1
YEL017C-A_YEL031W,9,1,1,1,1,1,1,1,1,1
YGR012W_YML086C,8,1,1,1,1,1,1,1,0,1
YML094W_YLR200W,7,1,1,1,0,1,1,1,0,1
YFR004W_YDL147W,7,1,1,1,0,1,1,1,0,1
YCL025C_YKR039W,7,1,1,1,0,1,0,1,1,1
YML012W_YER026C,7,1,1,1,1,1,1,0,0,1
YEL017C-A_YKR072C,7,1,1,1,1,1,1,0,0,1
YDR517W_YPL246C,7,1,1,1,1,1,1,0,0,1
YGL077C_YDR032C,7,1,1,1,0,0,1,1,1,1
YBR153W_YNL255C,4,1,1,0,0,1,0,1,0,0
YML056C_YML012W,2,1,0,0,0,0,1,0,0,0
YEL017C-A_YOR165W,8,1,1,1,1,1,1,1,0,1
YPL246C_YJL029C,6,1,1,1,0,1,1,0,0,1
YLR332W_YKL051W,9,1,1,1,1,1,1,1,1,1
YLR432W_YKL212W,2,1,0,0,0,0,1,0,0,0
YGR175C_YML012W,9,1,1,1,1,1,1,1,1,1
YGL108C_YER145C,6,1,1,0,1,1,1,1,0,0
YER070W_YGR037C,3,1,0,1,0,0,1,0,0,0
YER070W_YMR105C,3,1,0,0,0,0,1,0,0,1
YKL094W_YJL151C,5,1,1,1,0,1,0,0,0,1
YDR233C_YHR042W,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YGR138C,7,1,1,1,0,1,0,1,1,1
YML086C_YHR083W,7,1,1,1,1,1,1,0,0,1
YEL017C-A_YJR010C-A,9,1,1,1,1,1,1,1,1,1
YHR181W_YAR002C-A,7,1,1,1,1,1,1,0,0,1
YBR011C_YLR370C,4,1,1,0,0,0,1,0,0,1
YCL025C_YMR123W,9,1,1,1,1,1,1,1,1,1
YHR094C_YEL031W,6,1,1,1,0,1,0,1,0,1
YEL017C-A_YLR110C,7,1,1,1,0,1,1,1,0,1
YPL058C_YDR497C,9,1,1,1,1,1,1,1,1,1
YGR020C_YGR105W,8,1,1,1,1,1,1,1,0,1
YDL208W_YJL148W,6,1,1,1,0,1,1,0,0,1
YEL017C-A_YDR011W,7,1,1,1,0,1,1,1,0,1
YGL049C_YNL255C,7,1,1,1,0,1,1,1,0,1
YOR020C_YOL165C,1,1,0,0,0,0,0,0,0,0
YML086C_YKR080W,6,1,1,1,1,1,1,0,0,0
YPR035W_YHR068W,5,1,1,1,0,1,0,1,0,0
YEL031W_YML019W,4,1,0,0,0,0,1,0,1,1
YDR233C_YCR030C,6,1,1,0,0,1,1,1,0,1
YDL212W_YPR028W,2,1,0,0,0,0,1,0,0,0
YCL025C_YPL234C,6,1,1,1,0,1,1,0,0,1
YJL097W_YML012W,8,1,1,1,1,1,1,1,0,1
YCL025C_YML012W,6,1,1,0,1,1,1,0,0,1
YEL017C-A_YMR200W,9,1,1,1,1,1,1,1,1,1
YOR141C_YMR123W,8,1,1,1,1,1,1,1,0,1
YIL138C_YKR080W,8,1,1,1,1,1,1,1,0,1
YDR342C_YGR229C,3,1,0,1,0,0,0,0,0,1
YDR068W_YKL004W,7,1,1,1,1,1,1,0,0,1
YKL046C_YMR149W,7,1,1,1,1,1,1,0,0,1
YIR012W_YPR016C,2,1,0,1,0,0,0,0,0,0
YDL225W_YJR076C,8,1,1,1,1,1,1,1,0,1
YBR002C_YKR067W,8,1,1,1,1,1,1,1,0,1
YPL058C_YDR032C,5,1,1,0,0,0,1,0,1,1
YJL002C_YOR016C,8,1,1,1,0,1,1,1,1,1
YLR332W_YGR229C,6,1,1,0,1,1,1,0,0,1
YDL109C_YIR037W,9,1,1,1,1,1,1,1,1,1
YDR233C_YOL147C,8,1,1,1,1,1,1,1,0,1
YEL031W_YHR123W,7,1,1,1,1,0,1,1,0,1
YLR027C_YAR002C-A,1,1,0,0,0,0,0,0,0,0
YLR432W_YAR002C-A,4,1,1,0,0,1,1,0,0,0
YJL002C_YEL031W,9,1,1,1,1,1,1,1,1,1
YDL109C_YBR106W,3,1,1,0,0,0,1,0,0,0
YLL034C_YDR379W,1,1,0,0,0,0,0,0,0,0
YBR086C_YGR138C,3,1,1,0,0,0,0,0,0,1
YPL145C_YJL151C,7,1,1,1,0,1,1,1,0,1
YIL138C_YCR021C,1,1,0,0,0,0,0,0,0,0
YGL202W_YJR070C,3,1,0,1,0,0,0,1,0,0
YCL025C_YJL117W,6,1,0,1,0,1,1,1,0,1
YKR003W_YHR001W,8,1,1,1,1,1,1,1,0,1
YDR233C_YOR016C,3,1,1,0,0,0,1,0,0,0
YJL041W_YLR335W,8,1,1,1,1,1,1,1,0,1
YMR238W_YLR350W,1,1,0,0,0,0,0,0,0,0
YHR007C_YEL002C,9,1,1,1,1,1,1,1,1,1
YER056C_YER145C,6,1,1,0,1,1,1,1,0,0
YDR233C_YBL039C,5,1,1,0,0,1,1,1,0,0
YER070W_YNL007C,7,1,1,1,0,1,1,1,0,1
YEL031W_YDR331W,7,1,1,0,1,1,1,1,0,1
YOR204W_YML017W,5,1,1,1,0,1,1,0,0,0
YDL109C_YPR028W,9,1,1,1,1,1,1,1,1,1
YGR175C_YAR002C-A,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YMR123W,9,1,1,1,1,1,1,1,1,1
YDR171W_YGR060W,1,1,0,0,0,0,0,0,0,0
YER136W_YKL212W,2,1,0,0,0,0,1,0,0,0
YCL025C_YGL055W,4,1,0,0,0,1,1,0,0,1
YCR077C_YER068W,9,1,1,1,1,1,1,1,1,1
YPL058C_YHR096C,7,1,1,1,1,1,1,1,0,0
YBR086C_YKL212W,8,1,1,1,1,1,1,1,0,1
YLR056W_YGR060W,7,1,1,1,0,1,1,1,0,1
YJL097W_YBR106W,2,1,0,0,1,0,0,0,0,0
YLR050C_YML012W,7,1,1,1,1,1,1,0,0,1
YPL058C_YCR021C,7,1,1,1,1,1,1,0,0,1
YDR342C_YOR153W,3,1,0,0,0,1,0,0,0,1
YLR191W_YOL147C,2,1,1,0,0,0,0,0,0,0
YJL002C_YGR191W,4,1,1,0,0,1,1,0,0,0
YHR039C_YLR350W,6,1,1,1,1,1,1,0,0,0
YOR165W_YMR149W,8,1,1,1,1,1,1,1,0,1
YKR023W_YGR271W,7,1,1,1,1,1,1,0,0,1
YDR233C_YBR283C,4,1,1,0,0,1,1,0,0,0
YBR283C_YGR284C,7,1,1,1,1,1,1,0,0,1
YEL017C-A_YGL055W,9,1,1,1,1,1,1,1,1,1
YEL017C-A_YHR146W,7,1,1,1,1,1,0,1,0,1
YEL017C-A_YIR022W,3,1,1,0,0,0,1,0,0,0
YHR146W_YMR149W,3,1,1,0,0,0,1,0,0,0
YLL023C_YPR113W,9,1,1,1,1,1,1,1,1,1
YCL025C_YFL041W,6,1,1,1,0,1,1,0,0,1
YJL002C_YKL008C,3,1,1,1,0,0,0,0,0,0
YBR153W_YIL034C,5,1,1,1,0,1,0,1,0,0
YDR068W_YKR080W,4,1,1,0,0,1,1,0,0,0
YJR088C_YPR113W,7,1,1,1,0,1,1,0,1,1
YGL203C_YGR229C,9,1,1,1,1,1,1,1,1,1
YCL025C_YGR060W,9,1,1,1,1,1,1,1,1,1
YMR269W_YHR089C,5,1,1,1,0,1,0,0,0,1
YKL051W_YDR032C,3,1,0,0,0,0,1,0,0,1
YEL017C-A_YLR447C,7,1,1,1,0,1,1,1,0,1
YNR035C_YLR370C,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YKL165C,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YOR153W,6,1,1,1,0,1,1,0,0,1
YBL017C_YDR100W,9,1,1,1,1,1,1,1,1,1
YEL017C-A_YGL001C,6,1,1,1,0,1,1,0,0,1
YDR345C_YER145C,7,1,1,1,1,1,0,1,0,1
YHR007C_YJL117W,8,1,1,1,1,1,1,1,0,1
YBR106W_YMR149W,9,1,1,1,1,1,1,1,1,1
YDR345C_YGR138C,7,1,1,1,1,1,0,1,0,1
YBR086C_YHR096C,4,1,1,0,0,1,0,1,0,0
YER070W_YOR327C,6,1,0,1,0,1,1,1,0,1
YGL167C_YMR149W,3,1,0,0,0,1,1,0,0,0
YJL091C_YLR370C,2,1,1,0,0,0,0,0,0,0
YGL202W_YNL255C,2,1,1,0,0,0,0,0,0,0
YGR106C_YOR270C,8,1,1,1,1,1,1,1,0,1
YGR055W_YKL051W,2,1,0,0,0,0,0,1,0,0
YDR264C_YJL029C,7,1,1,1,1,1,1,0,0,1
YDL109C_YGR005C,8,1,1,1,1,1,1,1,0,1
YBR011C_YLR432W,4,1,1,0,0,0,1,0,0,1
YPR028W_YMR123W,3,1,0,1,0,0,1,0,0,0
YHR007C_YJR118C,5,1,1,1,0,0,1,0,0,1
YLL034C_YHR008C,1,1,0,0,0,0,0,0,0,0
YBR011C_YBR106W,2,1,0,0,0,0,1,0,0,0
YML123C_YMR149W,6,1,0,1,1,1,0,1,0,1
YHR146W_YER056C,1,1,0,0,0,0,0,0,0,0
YEL031W_YHR110W,5,1,0,1,0,1,1,0,1,0
YGL202W_YOR133W,7,1,1,1,1,1,0,1,1,0
YOR254C_YJR010C-A,6,1,1,1,0,1,1,0,0,1
YLL034C_YHR057C,1,1,0,0,0,0,0,0,0,0
YER136W_YLR262C,9,1,1,1,1,1,1,1,1,1
YCL025C_YHR133C,3,1,0,0,0,0,1,0,0,1
YJR088C_YEL031W,9,1,1,1,1,1,1,1,1,1
YCL025C_YDR508C,6,1,1,0,0,0,1,1,1,1
YDR233C_YLR056W,7,1,1,1,0,1,1,1,0,1
YEL017C-A_YPR113W,9,1,1,1,1,1,1,1,1,1
YJL002C_YLR056W,8,1,1,1,1,1,1,1,0,1
YBR077C_YKR007W,5,1,1,1,0,0,1,0,0,1
YEL017C-A_YER026C,9,1,1,1,1,1,1,1,1,1
YPL094C_YJR010C-A,9,1,1,1,1,1,1,1,1,1
YER070W_YLL001W,6,1,1,1,0,1,1,0,0,1
YEL031W_YKR067W,4,1,1,1,0,0,1,0,0,0
YEL017C-A_YOR016C,9,1,1,1,1,1,1,1,1,1
YDR233C_YER026C,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YBR068C,7,1,1,1,1,1,1,1,0,0
YLR064W_YKR072C,7,1,1,1,1,1,1,0,0,1
YAR002C-A_YMR272C,6,1,1,1,0,0,0,1,1,1
YEL031W_YML132W,2,1,0,0,0,0,0,1,0,0
YEL017C-A_YIL009W,8,1,1,1,1,1,1,1,0,1
YDR342C_YIL109C,1,1,0,0,0,0,0,0,0,0
YJL002C_YNL048W,7,1,1,1,0,1,1,1,0,1
YJR118C_YBR106W,2,1,0,1,0,0,0,0,0,0
YKR097W_YOL147C,2,1,1,0,0,0,0,0,0,0
YEL017C-A_YNL323W,9,1,1,1,1,1,1,1,1,1
YER070W_YMR300C,7,1,1,1,1,1,1,0,0,1
YLR050C_YEL031W,8,1,1,1,1,1,1,1,0,1
YKL065C_YGR060W,6,1,1,1,1,1,0,1,0,0
YER056C_YGL203C,4,1,1,1,1,0,0,0,0,0
YEL017C-A_YDR508C,9,1,1,1,1,1,1,1,1,1
YMR015C_YPR113W,1,1,0,0,0,0,0,0,0,0
YGR105W_YMR123W,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YJR010W,4,1,0,0,0,1,1,0,0,1
YPL058C_YIL121W,8,1,1,1,1,1,1,1,0,1
YKR100C_YGR229C,8,1,1,1,1,1,1,1,0,1
YIL038C_YPR072W,8,1,1,1,1,1,1,1,0,1
YCL025C_YNL048W,4,1,1,0,0,1,1,0,0,0
YHR094C_YGR037C,3,1,1,1,0,0,0,0,0,0
YJL002C_YHR039C,9,1,1,1,1,1,1,1,1,1
YOR254C_YML055W,2,1,0,0,0,0,1,0,0,0
YNL204C_YMR300C,6,1,1,1,0,1,1,0,0,1
YJL196C_YML012W,9,1,1,1,1,1,1,1,1,1
YGR055W_YDL222C,5,1,1,0,1,1,0,1,0,0
YGR057C_YFR041C,4,1,1,1,1,0,0,0,0,0
YPL058C_YML116W,7,1,1,1,1,1,0,1,1,0
YDR162C_YKR048C,7,1,1,1,1,1,1,0,0,1
YGL167C_YML012W,4,1,0,0,0,1,1,1,0,0
YEL017C-A_YBR207W,5,1,0,1,0,1,1,0,0,1
YCL025C_YKL008C,5,1,1,1,0,1,0,0,1,0
YDL109C_YEL031W,4,1,1,0,0,0,1,0,0,1
YER053C-A_YAR002C-A,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YJR118C,9,1,1,1,1,1,1,1,1,1
YGR057C_YDR517W,2,1,0,0,1,0,0,0,0,0
YDL109C_YML086C,5,1,1,0,0,1,1,0,0,1
YDR508C_YPL246C,3,1,1,0,0,0,1,0,0,0
YLR064W_YGR060W,6,1,1,1,0,1,1,1,0,0
YJL041W_YGL172W,6,1,1,1,0,1,1,0,0,1
YJL002C_YIL016W,7,1,1,1,0,1,1,1,0,1
YCR034W_YBR106W,6,1,1,1,0,1,1,1,0,0
YEL017C-A_YNL130C,9,1,1,1,1,1,1,1,1,1
YLR413W_YCR021C,3,1,1,0,1,0,0,0,0,0
YHR039C_YGR060W,8,1,1,1,1,1,1,1,0,1
YEL051W_YGR020C,8,1,1,1,1,1,1,1,0,1
YGL225W_YHR123W,3,1,1,1,0,0,0,0,0,0
YCL037C_YGL049C,5,1,1,1,0,1,1,0,0,0
YOR341W_YPR010C,9,1,1,1,1,1,1,1,1,1
YBR025C_YKR080W,7,1,1,1,0,1,1,1,0,1
YDR508C_YMR149W,9,1,1,1,1,1,1,1,1,1
YDL109C_YDR293C,9,1,1,1,1,1,1,1,1,1
YKL207W_YLR350W,5,1,1,1,0,1,1,0,0,0
YGL077C_YHR001W,5,1,1,1,0,1,0,0,0,1
YER070W_YPR028W,2,1,0,0,0,0,1,0,0,0
YEL017C-A_YJL151C,8,1,1,1,1,1,1,1,0,1
YML121W_YKR007W,2,1,0,0,0,0,0,0,0,1
YDL222C_YER145C,7,1,1,1,1,1,1,1,0,0
YDR233C_YDL052C,6,1,1,1,0,1,1,0,0,1
YBR002C_YDL052C,6,1,1,1,0,1,0,1,0,1
YML016C_YCR021C,4,1,1,0,1,1,0,0,0,0
YDL109C_YNL274C,7,1,1,1,0,1,1,1,0,1
YDL109C_YLR133W,8,1,1,1,0,1,1,1,1,1
YOR165W_YGR060W,4,1,1,1,0,0,0,1,0,0
YJL002C_YJR118C,8,1,1,1,1,1,1,1,0,1
YCL025C_YJR010W,2,1,1,0,0,0,0,0,0,0
YEL031W_YBR177C,4,1,1,0,0,0,1,0,0,1
YGR106C_YGR020C,9,1,1,1,1,1,1,1,1,1
YDR233C_YKL068W,2,1,1,0,0,0,0,0,0,0
YDL109C_YNL007C,8,1,1,1,0,1,1,1,1,1
YOR204W_YPL170W,2,1,0,0,0,0,0,0,1,0
YEL017C-A_YGR284C,7,1,1,1,1,1,1,0,0,1
YKL212W_YPL087W,7,1,1,1,1,1,1,1,0,0
YOR204W_YDR421W,1,1,0,0,0,0,0,0,0,0
YHR039C_YGL084C,6,1,1,1,1,1,1,0,0,0
YCL025C_YJR010C-A,7,1,1,1,0,1,1,1,0,1
YML018C_YGL006W,7,1,1,1,1,1,1,0,0,1
YDR233C_YHR001W,5,1,1,0,0,1,1,0,0,1
YHR007C_YOR165W,8,1,1,1,1,1,1,1,0,1
YJL002C_YML012W,8,1,1,1,1,1,1,1,0,1
YLR332W_YGR138C,5,1,1,0,1,1,0,1,0,0
YLR064W_YML012W,6,1,1,1,0,1,1,0,0,1
YIL038C_YER068W,8,1,1,1,1,1,1,1,0,1
YML016C_YML106W,7,1,1,1,1,1,1,0,0,1
YCL037C_YKR048C,7,1,1,1,1,1,1,0,0,1
YHR007C_YDL052C,9,1,1,1,1,1,1,1,1,1
YJL002C_YJR117W,8,1,1,1,1,1,1,1,0,1
YCR093W_YNL197C,6,1,1,1,1,1,1,0,0,0
YEL017C-A_YML116W,8,1,1,1,1,1,0,1,1,1
YGR020C_YJL151C,7,1,1,0,1,1,1,1,0,1
YJL002C_YNL322C,8,1,1,1,1,1,1,1,0,1
YPL058C_YJL192C,8,1,1,1,1,1,1,0,1,1
YHR094C_YKR039W,5,1,1,1,0,1,0,1,0,0
YDL109C_YIL033C,1,1,0,0,0,0,0,0,0,0
YML018C_YJL178C,7,1,1,1,1,1,0,1,0,1
YJL097W_YGR060W,7,1,1,1,1,1,1,1,0,0
YDL109C_YLR432W,8,1,1,1,0,1,1,1,1,1
YJL124C_YML012W,2,1,0,0,0,0,1,0,0,0
YMR112C_YMR153W,2,1,0,0,1,0,0,0,0,0
YOR273C_YGL055W,2,1,0,0,0,0,0,0,0,1
YOR332W_YOR133W,3,1,0,1,0,0,0,1,0,0
YBR002C_YPR113W,3,1,0,1,0,0,1,0,0,0
YLR438W_YMR300C,4,1,1,1,0,0,1,0,0,0
YDR233C_YJR010C-A,5,1,1,0,0,1,1,0,0,1
YLR326W_YCR021C,6,1,1,1,0,1,0,1,0,1
YIL062C_YIL034C,6,1,1,1,0,1,1,0,0,1
YLR432W_YPR113W,3,1,1,0,0,0,1,0,0,0
YJL153C_YCR021C,5,1,1,1,1,1,0,0,0,0
YBR011C_YCR021C,3,1,1,0,0,1,0,0,0,0
YEL017C-A_YJL178C,6,1,1,1,0,1,1,0,0,1
YCL037C_YGR054W,7,1,1,1,0,1,1,1,0,1
YDR342C_YPL246C,1,1,0,0,0,0,0,0,0,0
YBR011C_YJR070C,3,1,0,0,0,0,1,0,0,1
YML012W_YIL043C,9,1,1,1,1,1,1,1,1,1
YHR094C_YGR060W,4,1,1,1,0,0,0,1,0,0
YDL109C_YLR370C,8,1,1,1,1,1,1,1,0,1
YAL042W_YML067C,5,1,1,1,0,0,1,0,0,1
YHR007C_YIR037W,9,1,1,1,1,1,1,1,1,1
YDL109C_YML056C,7,1,1,1,0,1,1,1,0,1
YOR016C_YGR060W,4,1,1,1,0,1,0,0,0,0
YPR035W_YMR300C,8,1,1,1,0,1,1,1,1,1
YIL038C_YCR093W,8,1,1,1,1,1,1,1,0,1
YKL065C_YPR113W,8,1,1,1,1,1,1,0,1,1
YHR096C_YLL028W,4,1,1,0,0,1,0,1,0,0
YGR130C_YDR032C,9,1,1,1,1,1,1,1,1,1
YEL031W_YHR042W,4,1,1,0,1,0,1,0,0,0
YOR332W_YKR007W,6,1,1,1,1,1,1,0,0,0
YJL109C_YDR398W,7,1,1,1,1,1,0,1,0,1
YGR105W_YGR060W,1,1,0,0,0,0,0,0,0,0
YPL058C_YGR065C,5,1,1,0,1,1,1,0,0,0
YBR252W_YML035C,8,1,1,1,1,1,1,1,0,1
YOR165W_YPR113W,9,1,1,1,1,1,1,1,1,1
YER136W_YOR089C,9,1,1,1,1,1,1,1,1,1
YDR233C_YML055W,3,1,0,0,0,1,1,0,0,0
YJL002C_YKL046C,6,1,1,1,0,1,1,0,0,1
YDL109C_YHR055C,8,1,1,1,1,1,1,1,0,1
YDR381C-A_YML086C,8,1,1,1,1,1,1,1,0,1
YOL147C_YDR329C,8,1,1,1,1,1,1,1,0,1
YJL002C_YAL058W,6,1,1,1,0,1,1,0,0,1
YDR233C_YBR106W,8,1,1,1,1,1,1,1,0,1
YJL002C_YPL186C,6,1,1,1,0,1,1,1,0,0
YHR007C_YJR117W,9,1,1,1,1,1,1,1,1,1
YDL109C_YGR037C,9,1,1,1,1,1,1,1,1,1
YGR183C_YOL147C,5,1,1,1,0,0,1,0,0,1
YDL109C_YOR133W,8,1,1,1,1,1,1,1,0,1
YEL031W_YGL084C,6,1,1,1,0,1,1,1,0,0
YGR138C_YER145C,6,1,1,1,1,1,0,1,0,0
YHR007C_YBR106W,9,1,1,1,1,1,1,1,1,1
YLR438C-A_YDL160C,4,1,1,0,0,0,0,1,0,1
YEL017C-A_YGR036C,7,1,1,1,1,1,1,0,0,1
YPR176C_YGR229C,8,1,1,1,1,1,1,1,0,1
YER063W_YML012W,3,1,1,0,0,0,1,0,0,0
YJL153C_YGR037C,6,1,1,1,0,1,1,0,0,1
YHR146W_YGR060W,4,1,1,1,1,0,0,0,0,0
YEL017C-A_YLR088W,6,1,1,1,0,1,1,0,0,1
YNL204C_YBR106W,1,1,0,0,0,0,0,0,0,0
YML072C_YER145C,8,1,1,1,1,1,1,1,0,1
YJL002C_YMR015C,8,1,1,1,0,1,1,1,1,1
YLR064W_YML016C,8,1,1,1,1,1,1,1,0,1
YEL017C-A_YBR283C,9,1,1,1,1,1,1,1,1,1
YNL030W_YNL031C,9,1,1,1,1,1,1,1,1,1
YDL128W_YBR106W,9,1,1,1,1,1,1,1,1,1
YEL031W_YLR088W,7,1,1,1,1,1,1,0,0,1
YLR432W_YPL246C,1,1,0,0,0,0,0,0,0,0
YPR035W_YBL039C,8,1,1,1,0,1,1,1,1,1
YJL002C_YNL130C,8,1,1,1,1,1,1,1,0,1
YHR135C_YDR264C,8,1,1,1,1,1,1,1,0,1
YHR094C_YFL038C,5,1,1,1,0,1,0,1,0,0
YEL017C-A_YDL052C,9,1,1,1,1,1,1,1,1,1
YCR095C_YHL029C,3,1,1,0,0,0,1,0,0,0
YCL025C_YIL043C,9,1,1,1,1,1,1,1,1,1
YDR233C_YJL117W,8,1,1,1,1,1,1,1,0,1
YJL002C_YKR039W,9,1,1,1,1,1,1,1,1,1
YHR094C_YIL121W,4,1,1,1,0,0,0,1,0,0
YLR332W_YDR032C,9,1,1,1,1,1,1,1,1,1
YCL025C_YPR113W,9,1,1,1,1,1,1,1,1,1
YEL017C-A_YBR183W,5,1,1,1,0,0,0,1,0,1
YEL017C-A_YLR056W,9,1,1,1,1,1,1,1,1,1
YDR497C_YGR060W,3,1,1,1,0,0,0,0,0,0
YDR233C_YMR272C,8,1,1,1,1,1,1,1,0,1
YDR345C_YDR497C,7,1,1,1,0,1,0,1,1,1
YDR385W_YKR080W,5,1,1,1,0,1,0,1,0,0
YBR106W_YGL055W,4,1,0,1,0,0,0,1,1,0
YGL202W_YGR037C,6,1,1,1,0,1,1,1,0,0
YAL053W_YER145C,5,1,1,0,0,1,1,1,0,0
YGL203C_YKL004W,9,1,1,1,1,1,1,1,1,1
YER053C-A_YML012W,8,1,1,1,1,1,1,1,0,1
YDR524C-B_YGR284C,4,1,1,1,0,0,0,1,0,0
YHR114W_YLR337C,7,1,1,1,1,1,1,0,0,1
YGR106C_YPR036W,7,1,1,1,0,1,1,1,0,1
YDR063W_YDL029W,9,1,1,1,1,1,1,1,1,1
YGR260W_YEL031W,4,1,1,1,0,0,1,0,0,0
YGR038W_YEL031W,7,1,1,1,1,1,1,1,0,0
YKL207W_YMR149W,9,1,1,1,1,1,1,1,1,1
YER070W_YKR080W,7,1,1,1,0,1,1,1,0,1
YDL109C_YDR152W,6,1,1,1,0,1,1,0,0,1
YML086C_YMR300C,7,1,1,1,0,1,1,0,1,1
YGL108C_YCR021C,5,1,1,1,1,1,0,0,0,0
YER056C_YLR083C,3,0,1,1,0,0,0,1,0,0
YKR003W_YPR028W,6,0,1,1,1,1,1,1,0,0
YHR179W_YCR021C,2,0,1,1,0,0,0,0,0,0
YLL034C_YHR190W,1,0,1,0,0,0,0,0,0,0
YJL153C_YDR129C,1,0,1,0,0,0,0,0,0,0
YOR078W_YKL139W,1,0,1,0,0,0,0,0,0,0
YMR109W_YCR021C,2,0,1,0,0,1,0,0,0,0
YDR293C_YKR080W,5,0,1,1,1,1,1,0,0,0
YKL088W_YPR113W,6,0,1,1,1,1,1,0,0,1
YLR413W_YDL222C,2,0,1,0,0,0,0,1,0,0
YGR183C_YHR001W-A,2,0,1,0,0,0,0,0,0,1
YDL109C_YDL125C,3,0,1,0,0,0,1,0,0,1
YML012W_YMR149W,6,0,1,1,1,0,1,0,1,1
YNL026W_YFR040W,1,0,1,0,0,0,0,0,0,0
YGL014W_YDL160C,2,0,1,1,0,0,0,0,0,0
YJL002C_YJL192C,4,0,1,0,0,1,1,0,0,1
YJL002C_YIL009W,4,0,1,0,0,1,1,0,0,1
YLR064W_YMR272C,2,0,1,0,0,1,0,0,0,0
YML086C_YKR097W,2,0,1,1,0,0,0,0,0,0
YLR170C_YLR274W,1,0,1,0,0,0,0,0,0,0
YDR345C_YML116W,1,0,1,0,0,0,0,0,0,0
YDL109C_YDR071C,5,0,1,1,0,1,1,0,0,1
YKL065C_YBR106W,6,0,1,1,0,1,1,0,1,1
YBR234C_YDR129C,2,0,1,0,0,1,0,0,0,0
YCL025C_YKR080W,3,0,1,0,0,1,1,0,0,0
YPR035W_YMR095C,3,0,1,1,0,1,0,0,0,0
YLL034C_YDR329C,1,0,1,0,0,0,0,0,0,0
YGR191W_YMR149W,3,0,1,0,1,0,1,0,0,0
YNR035C_YIL034C,4,0,1,0,0,1,1,0,0,1
YER065C_YNL117W,2,0,1,1,0,0,0,0,0,0
YGL159W_YER020W,1,0,1,0,0,0,0,0,0,0
YER063W_YAR002C-A,2,0,1,0,0,0,1,0,0,0
YNL190W_YMR149W,4,0,1,1,0,0,1,1,0,0
YJR088C_YPR028W,7,0,1,1,1,1,1,1,1,0
YDL109C_YLR291C,3,0,1,0,0,0,1,0,0,1
YBR011C_YBR135W,1,0,1,0,0,0,0,0,0,0
YHR007C_YLR350W,1,0,1,0,0,0,0,0,0,0
YIL103W_YOR133W,2,0,1,0,1,0,0,0,0,0
YCL025C_YMR134W,2,0,1,1,0,0,0,0,0,0
YLR413W_YER020W,2,0,1,0,0,0,0,0,1,0
YER112W_YGL014W,2,0,1,0,0,0,0,0,0,1
