PPI,Positive_environment_number,SD,H2O2,Hydroxyurea,Doxorubicin,Forskolin,Raffinose,NaCl,Cold_16C,FK506
YML086C_YPL186C,8,1,1,1,1,1,1,1,0,1
YEL031W_YLR056W,9,1,1,1,1,1,1,1,1,1
YEL031W_YAR002C-A,9,1,1,1,1,1,1,1,1,1
YBR153W_YMR300C,7,1,1,1,0,1,1,1,0,1
YDL160C_YER112W,9,1,1,1,1,1,1,1,1,1
YJL178C_YKL212W,2,1,0,0,0,0,1,0,0,0
YPR028W_YLR324W,8,1,1,1,1,1,1,1,0,1
YKL181W_YBL068W,8,1,1,1,1,1,1,1,0,1
YML012W_YBR106W,9,1,1,1,1,1,1,1,1,1
YCR021C_YEL031W,3,1,1,0,0,1,0,0,0,0
YDL204W_YPR028W,9,1,1,1,1,1,1,1,1,1
YPL246C_YDR100W,9,1,1,1,1,1,1,1,1,1
YOR016C_YGL002W,6,1,1,1,0,1,1,0,0,1
YDR331W_YDR434W,8,1,1,1,1,1,1,1,0,1
YML072C_YGL077C,9,1,1,1,1,1,1,1,1,1
YJL151C_YHR072W,7,1,1,1,1,1,1,0,0,1
YHR096C_YDL222C,6,1,1,1,1,1,0,1,0,0
YPL101W_YLR384C,4,1,1,0,0,0,1,0,0,1
YAR002C-A_YML012W,9,1,1,1,1,1,1,1,1,1
YDR508C_YAR002C-A,9,1,1,1,1,1,1,1,1,1
YGR138C_YML072C,7,1,1,1,1,1,0,1,0,1
YML055W_YEL031W,9,1,1,1,1,1,1,1,1,1
YPR128C_YOL147C,7,1,1,1,0,1,1,1,0,1
YDR508C_YKR039W,4,1,1,0,0,0,0,1,1,0
YLR432W_YEL031W,5,1,1,0,1,1,1,0,0,0
YEL031W_YHR039C,7,1,1,1,1,1,1,0,0,1
YMR200W_YEL031W,9,1,1,1,1,1,1,1,1,1
YNL288W_YNR052C,8,1,1,1,1,1,1,1,0,1
YOR016C_YML012W,9,1,1,1,1,1,1,1,1,1
YML072C_YMR266W,8,1,1,1,1,1,1,1,0,1
YPR028W_YKR072C,8,1,1,1,1,1,1,1,0,1
YEL031W_YPR028W,9,1,1,1,1,1,1,1,1,1
YDR152W_YGL195W,8,1,1,1,1,1,1,1,0,1
YKL212W_YAR002C-A,9,1,1,1,1,1,1,1,1,1
YCR093W_YER068W,8,1,1,1,1,1,1,1,0,1
YLR350W_YML012W,9,1,1,1,1,1,1,1,1,1
YML016C_YOR054C,8,1,1,1,1,1,1,1,0,1
YGL077C_YEL031W,8,1,1,1,1,1,1,0,1,1
YJL117W_YMR134W,9,1,1,1,1,1,1,1,1,1
YOR270C_YGR020C,8,1,1,1,1,1,1,1,0,1
YKR080W_YEL031W,5,1,1,0,1,1,1,0,0,0
YCR093W_YNL288W,8,1,1,1,1,1,1,1,0,1
YBR041W_YJL151C,8,1,1,1,1,1,1,1,0,1
YML012W_YGR284C,9,1,1,1,1,1,1,1,1,1
YDL222C_YDR497C,6,1,1,1,1,1,0,1,0,0
YPR113W_YEL031W,9,1,1,1,1,1,1,1,1,1
YBL068W_YER099C,8,1,1,1,1,1,1,1,0,1
YGL099W_YIR026C,6,1,1,1,1,1,1,0,0,0
YHR039C_YML012W,9,1,1,1,1,1,1,1,1,1
YPL087W_YML012W,9,1,1,1,1,1,1,1,1,1
YBR106W_YJR010C-A,8,1,1,1,0,1,1,1,1,1
YBR267W_YKR048C,8,1,1,1,1,1,1,1,0,1
YKL051W_YDR497C,5,1,1,0,0,1,0,1,0,1
YPR028W_YML012W,9,1,1,1,1,1,1,1,1,1
YBR283C_YML012W,9,1,1,1,1,1,1,1,1,1
YLR432W_YPR028W,4,1,1,0,0,1,1,0,0,0
YEL031W_YMR238W,6,1,0,1,1,1,1,0,1,0
YDL182W_YML012W,4,1,1,0,0,1,1,0,0,0
YBR207W_YGL006W,7,1,1,1,1,1,1,0,0,1
YER026C_YDR508C,3,1,1,0,0,0,1,0,0,0
YGR119C_YGL172W,8,1,1,1,1,1,1,1,0,1
YDR264C_YBL102W,8,1,1,1,1,1,1,1,0,1
YEL031W_YJR118C,6,1,1,1,0,1,1,0,0,1
YLL028W_YCR021C,3,1,1,0,0,1,0,0,0,0
YML012W_YEL031W,9,1,1,1,1,1,1,1,1,1
YPL246C_YJL178C,8,1,1,1,1,1,1,1,0,1
YDR398W_YMR093W,7,1,1,1,1,0,1,0,1,1
YOR206W_YDR060W,6,1,1,1,0,1,1,0,0,1
YMR109W_YOR181W,7,1,1,1,1,1,1,0,0,1
YOR270C_YPR036W,8,1,1,1,1,1,1,1,0,1
YPR028W_YGR284C,7,1,1,1,0,1,1,0,1,1
YDL131W_YDL182W,8,1,1,1,0,1,1,1,1,1
YKR080W_YMR300C,7,1,1,1,0,1,1,1,0,1
YDR503C_YPL246C,8,1,1,1,1,1,1,1,0,1
YDL212W_YEL031W,9,1,1,1,1,1,1,1,1,1
YFR024C-A_YHR016C,8,1,1,1,1,1,1,1,0,1
YGR020C_YLR447C,9,1,1,1,1,1,1,1,1,1
YBR036C_YEL031W,8,1,1,1,1,1,1,1,0,1
YGL203C_YNL238W,7,1,1,1,1,1,0,1,0,1
YGL092W_YJR042W,4,1,1,0,0,0,1,0,0,1
YEL031W_YKR039W,6,1,1,1,0,1,0,1,1,0
YLR337C_YLR370C,8,1,1,1,1,1,1,1,0,1
YER026C_YPR028W,7,1,1,1,1,1,1,0,0,1
YEL031W_YLR350W,8,1,1,1,1,1,1,1,0,1
YPR028W_YHR042W,9,1,1,1,1,1,1,1,1,1
YJL153C_YMR105C,6,1,1,1,0,1,1,0,0,1
YJL178C_YEL031W,9,1,1,1,1,1,1,1,1,1
YEL031W_YMR292W,7,1,1,0,1,1,1,1,0,1
YEL031W_YPL087W,8,1,1,1,1,1,1,1,0,1
YLR088W_YDR331W,8,1,1,1,1,1,1,1,0,1
YBR106W_YAR002C-A,9,1,1,1,1,1,1,1,1,1
YGL019W_YOR039W,8,1,1,1,1,1,1,1,0,1
YEL031W_YMR058W,7,1,1,1,1,1,1,1,0,0
YGR138C_YDR497C,6,1,1,1,0,1,0,1,0,1
YDL182W_YEL031W,4,1,1,0,0,1,1,0,0,0
YDL160C_YHR121W,8,1,1,1,1,1,1,1,0,1
YDR100W_YDR264C,8,1,1,1,1,1,1,1,0,1
YGL055W_YML056C,3,1,0,0,0,0,1,0,0,1
YJR117W_YEL031W,9,1,1,1,1,1,1,1,1,1
YOR273C_YCR021C,5,1,1,0,1,1,0,0,0,1
YAR002C-A_YPR028W,9,1,1,1,1,1,1,1,1,1
YOR016C_YAR002C-A,9,1,1,1,1,1,1,1,1,1
YPR028W_YKL212W,9,1,1,1,1,1,1,1,1,1
YAR002C-A_YLR056W,7,1,1,1,1,1,1,0,0,1
YGR138C_YCR021C,5,1,1,1,0,1,0,1,0,0
YML012W_YPR113W,9,1,1,1,1,1,1,1,1,1
YER166W_YNL323W,8,1,1,1,1,1,1,1,0,1
YIL027C_YJL192C,9,1,1,1,1,1,1,1,1,1
YHR016C_YOR042W,9,1,1,1,1,1,1,1,1,1
YKL051W_YML072C,8,1,1,1,0,1,1,1,1,1
YDR434W_YLR088W,4,1,1,0,0,0,1,1,0,0
YNL255C_YGR054W,9,1,1,1,1,1,1,1,1,1
YKL212W_YEL031W,8,1,1,1,1,1,1,1,0,1
YEL031W_YKL008C,7,1,1,1,1,1,0,1,0,1
YJL151C_YIL027C,7,1,1,1,0,0,1,1,1,1
YEL031W_YGR191W,7,1,1,1,1,1,1,1,0,0
YKR039W_YGL203C,5,1,1,1,0,1,0,1,0,0
YGR138C_YKL051W,3,1,1,0,0,0,0,1,0,0
YPL094C_YEL031W,9,1,1,1,1,1,1,1,1,1
YLR332W_YDR497C,8,1,1,1,1,1,1,1,0,1
YAR002C-A_YGR284C,8,1,1,1,1,1,1,1,0,1
YKR048C_YMR139W,7,1,1,1,1,1,1,0,0,1
YEL031W_YDR011W,8,1,1,1,1,1,1,1,0,1
YLR170C_YPR029C,8,1,1,1,1,1,1,1,0,1
YNL007C_YEL031W,3,1,1,0,0,0,1,0,0,0
YDR508C_YBR106W,7,1,1,1,0,1,1,1,1,0
YHR096C_YCR021C,5,1,1,1,0,1,0,1,0,0
YNL130C_YEL031W,8,1,1,1,1,1,1,1,0,1
YCR021C_YGL077C,6,1,1,1,1,1,0,0,0,1
YDR508C_YML012W,9,1,1,1,1,1,1,1,1,1
YGL203C_YDR264C,7,1,1,1,1,1,1,1,0,0
YIL027C_YML012W,9,1,1,1,1,1,1,1,1,1
YML012W_YLR056W,9,1,1,1,1,1,1,1,1,1
YMR010W_YGL203C,6,1,1,1,1,1,0,1,0,0
YML123C_YJL117W,7,1,1,1,1,1,1,0,0,1
YJL151C_YKL140W,9,1,1,1,1,1,1,1,1,1
YBR283C_YAR002C-A,8,1,1,1,1,1,1,1,0,1
YDL212W_YDL182W,3,1,1,0,0,0,1,0,0,0
YGL077C_YDL222C,4,1,1,0,0,1,0,1,0,0
YJL178C_YDR264C,8,1,1,1,1,1,1,1,0,1
YHR042W_YGL055W,8,1,1,1,0,1,1,1,1,1
YKL212W_YDL212W,8,1,1,1,0,1,1,1,1,1
YKL181W_YER099C,8,1,1,1,1,1,1,1,0,1
YOR165W_YBR106W,7,1,1,1,1,1,1,1,0,0
YPR028W_YLL001W,4,1,0,0,1,0,1,0,0,1
YML123C_YEL031W,8,1,1,1,1,1,1,0,1,1
YER063W_YEL031W,2,1,0,0,0,0,1,0,0,0
YPR028W_YPR113W,9,1,1,1,1,1,1,1,1,1
YOR273C_YDR497C,4,1,0,0,1,0,0,0,1,1
YNL255C_YPR028W,2,1,0,0,0,0,1,0,0,0
YIL027C_YBR106W,4,1,1,1,0,0,0,0,1,0
YBL042C_YEL031W,3,0,1,0,0,1,1,0,0,0
YBL017C_YGL203C,3,0,1,1,0,0,0,0,1,0
YDL160C_YNL255C,6,0,1,1,1,1,1,0,0,1
YNL288W_YNL091W,3,0,1,0,1,1,0,0,0,0
YDR508C_YKL212W,3,0,1,0,0,0,1,0,1,0
YKR080W_YAR002C-A,4,0,1,0,1,1,1,0,0,0
YBL102W_YDR100W,6,0,1,1,1,1,1,1,0,0
YMR300C_YLL001W,5,0,1,1,0,1,1,0,0,1
YML012W_YDL212W,6,0,1,1,0,1,1,0,1,1
YBL017C_YJL154C,7,0,1,1,1,1,1,1,1,0
YML086C_YJL153C,4,0,1,0,1,0,1,0,0,1
YEL031W_YML038C,3,0,1,0,1,0,1,0,0,0
YGL055W_YAR002C-A,2,0,1,0,0,0,1,0,0,0
YDL222C_YIL105C,5,0,1,1,1,1,0,1,0,0
