module	gene	color	rgb
3	l(2)k14505	#F0E442FF	240-228-66
3	l(3)87Df	#F0E442FF	240-228-66
3	l(3)neo43	#F0E442FF	240-228-66
3	La	#F0E442FF	240-228-66
3	levy	#F0E442FF	240-228-66
3	Lis-1	#F0E442FF	240-228-66
3	MagR	#F0E442FF	240-228-66
3	Marf	#F0E442FF	240-228-66
3	Mdh1	#F0E442FF	240-228-66
3	mEFTs	#F0E442FF	240-228-66
3	mEFTu1	#F0E442FF	240-228-66
3	Men-b	#F0E442FF	240-228-66
3	mge	#F0E442FF	240-228-66
3	Miro	#F0E442FF	240-228-66
3	Mitofilin	#F0E442FF	240-228-66
3	Mpcp2	#F0E442FF	240-228-66
3	mRpL1	#F0E442FF	240-228-66
3	mRpL10	#F0E442FF	240-228-66
3	mRpL12	#F0E442FF	240-228-66
3	mRpL13	#F0E442FF	240-228-66
3	mRpL14	#F0E442FF	240-228-66
3	mRpL16	#F0E442FF	240-228-66
3	mRpL17	#F0E442FF	240-228-66
3	mRpL18	#F0E442FF	240-228-66
3	mRpL19	#F0E442FF	240-228-66
3	mRpL2	#F0E442FF	240-228-66
3	mRpL21	#F0E442FF	240-228-66
3	mRpL22	#F0E442FF	240-228-66
3	mRpL23	#F0E442FF	240-228-66
3	mRpL24	#F0E442FF	240-228-66
3	mRpL27	#F0E442FF	240-228-66
3	mRpL28	#F0E442FF	240-228-66
3	mRpL30	#F0E442FF	240-228-66
3	mRpL33	#F0E442FF	240-228-66
3	mRpL34	#F0E442FF	240-228-66
3	mRpL35	#F0E442FF	240-228-66
3	mRpL36	#F0E442FF	240-228-66
3	mRpL4	#F0E442FF	240-228-66
3	mRpL41	#F0E442FF	240-228-66
3	mRpL42	#F0E442FF	240-228-66
3	mRpL43	#F0E442FF	240-228-66
3	mRpL47	#F0E442FF	240-228-66
3	mRpL48	#F0E442FF	240-228-66
3	mRpL49	#F0E442FF	240-228-66
3	mRpL50	#F0E442FF	240-228-66
3	mRpL52	#F0E442FF	240-228-66
3	mRpL54	#F0E442FF	240-228-66
3	mRpL55	#F0E442FF	240-228-66
3	mRpS10	#F0E442FF	240-228-66
3	mRpS11	#F0E442FF	240-228-66
3	mRpS14	#F0E442FF	240-228-66
3	mRpS16	#F0E442FF	240-228-66
3	mRpS17	#F0E442FF	240-228-66
3	mRpS18A	#F0E442FF	240-228-66
3	mRpS18C	#F0E442FF	240-228-66
3	mRpS21	#F0E442FF	240-228-66
3	mRpS24	#F0E442FF	240-228-66
3	mRpS25	#F0E442FF	240-228-66
3	mRpS26	#F0E442FF	240-228-66
3	mRpS28	#F0E442FF	240-228-66
3	mRpS31	#F0E442FF	240-228-66
3	mRpS33	#F0E442FF	240-228-66
3	mRpS5	#F0E442FF	240-228-66
3	mRpS6	#F0E442FF	240-228-66
3	mRpS7	#F0E442FF	240-228-66
3	mRpS9	#F0E442FF	240-228-66
3	MSBP	#F0E442FF	240-228-66
3	Mtch	#F0E442FF	240-228-66
3	muc	#F0E442FF	240-228-66
3	Ogdh	#F0E442FF	240-228-66
3	ND-13A	#F0E442FF	240-228-66
3	ND-13B	#F0E442FF	240-228-66
3	ND-15	#F0E442FF	240-228-66
3	ND-18	#F0E442FF	240-228-66
3	ND-19	#F0E442FF	240-228-66
3	ND-20	#F0E442FF	240-228-66
3	ND-23	#F0E442FF	240-228-66
3	ND-24	#F0E442FF	240-228-66
3	ND-30	#F0E442FF	240-228-66
3	ND-39	#F0E442FF	240-228-66
3	ND-42	#F0E442FF	240-228-66
3	ND-49	#F0E442FF	240-228-66
3	ND-51	#F0E442FF	240-228-66
3	ND-75	#F0E442FF	240-228-66
3	ND-ACP	#F0E442FF	240-228-66
3	ND-AGGG	#F0E442FF	240-228-66
3	ND-ASHI	#F0E442FF	240-228-66
3	ND-B12	#F0E442FF	240-228-66
3	ND-B14	#F0E442FF	240-228-66
3	ND-B14.5A	#F0E442FF	240-228-66
3	ND-B14.5B	#F0E442FF	240-228-66
3	ND-B14.7	#F0E442FF	240-228-66
3	ND-B15	#F0E442FF	240-228-66
3	ND-B16.6	#F0E442FF	240-228-66
3	ND-B17	#F0E442FF	240-228-66
3	ND-B17.2	#F0E442FF	240-228-66
3	ND-B18	#F0E442FF	240-228-66
3	ND-B22	#F0E442FF	240-228-66
3	ND-MLRQ	#F0E442FF	240-228-66
3	ND-MWFE	#F0E442FF	240-228-66
3	ND-PDSW	#F0E442FF	240-228-66
3	ND-SGDH	#F0E442FF	240-228-66
3	Neb-cGP	#F0E442FF	240-228-66
3	Nmnat	#F0E442FF	240-228-66
3	Non1	#F0E442FF	240-228-66
3	NP15.6	#F0E442FF	240-228-66
3	Opa1	#F0E442FF	240-228-66
3	ox	#F0E442FF	240-228-66
3	P32	#F0E442FF	240-228-66
3	P5CDh1	#F0E442FF	240-228-66
3	P5cr	#F0E442FF	240-228-66
3	Pcyt1	#F0E442FF	240-228-66
3	Pect	#F0E442FF	240-228-66
3	Pex19	#F0E442FF	240-228-66
3	Pfdn2	#F0E442FF	240-228-66
3	Pfdn5	#F0E442FF	240-228-66
3	Pglym78	#F0E442FF	240-228-66
3	Phb2	#F0E442FF	240-228-66
3	PheRS-m	#F0E442FF	240-228-66
3	PhKgamma	#F0E442FF	240-228-66
3	POLDIP2	#F0E442FF	240-228-66
3	porin	#F0E442FF	240-228-66
3	PrBP	#F0E442FF	240-228-66
3	prel	#F0E442FF	240-228-66
3	Prosalpha5	#F0E442FF	240-228-66
3	Prx3	#F0E442FF	240-228-66
3	QIL1	#F0E442FF	240-228-66
3	RFeSP	#F0E442FF	240-228-66
3	RIC-3	#F0E442FF	240-228-66
3	Rim2	#F0E442FF	240-228-66
3	Roe1	#F0E442FF	240-228-66
3	roh	#F0E442FF	240-228-66
3	lncRNA:roX1	#F0E442FF	240-228-66
3	Polr2L	#F0E442FF	240-228-66
3	RpL15	#F0E442FF	240-228-66
3	RpL24-like	#F0E442FF	240-228-66
3	Sam-S	#F0E442FF	240-228-66
3	san	#F0E442FF	240-228-66
3	Scox	#F0E442FF	240-228-66
3	Scsalpha1	#F0E442FF	240-228-66
3	SdhA	#F0E442FF	240-228-66
3	SdhB	#F0E442FF	240-228-66
3	SdhC	#F0E442FF	240-228-66
3	SdhD	#F0E442FF	240-228-66
3	Sem1	#F0E442FF	240-228-66
3	sesB	#F0E442FF	240-228-66
3	Sf3b5	#F0E442FF	240-228-66
3	Sirup	#F0E442FF	240-228-66
3	ScsbetaA	#F0E442FF	240-228-66
3	slmo	#F0E442FF	240-228-66
3	Sod1	#F0E442FF	240-228-66
3	Sod2	#F0E442FF	240-228-66
3	spen	#F0E442FF	240-228-66
3	Ssadh	#F0E442FF	240-228-66
3	Su(P)	#F0E442FF	240-228-66
3	Syngr	#F0E442FF	240-228-66
3	Syx13	#F0E442FF	240-228-66
3	Tim17b	#F0E442FF	240-228-66
3	Tim23	#F0E442FF	240-228-66
3	Tim8	#F0E442FF	240-228-66
3	Tim9a	#F0E442FF	240-228-66
3	Tina-1	#F0E442FF	240-228-66
3	tko	#F0E442FF	240-228-66
3	Tom20	#F0E442FF	240-228-66
3	Tom40	#F0E442FF	240-228-66
3	Tom7	#F0E442FF	240-228-66
3	Tpr2	#F0E442FF	240-228-66
3	Trx-2	#F0E442FF	240-228-66
3	Trxr-1	#F0E442FF	240-228-66
3	Ubc10	#F0E442FF	240-228-66
3	Ufd1	#F0E442FF	240-228-66
3	Urod	#F0E442FF	240-228-66
3	UQCR-11	#F0E442FF	240-228-66
3	UQCR-14	#F0E442FF	240-228-66
3	UQCR-6.4	#F0E442FF	240-228-66
3	UQCR-C1	#F0E442FF	240-228-66
3	UQCR-C2	#F0E442FF	240-228-66
3	UQCR-Q	#F0E442FF	240-228-66
3	Usf	#F0E442FF	240-228-66
3	Vamp7	#F0E442FF	240-228-66
3	VhaM9.7-b	#F0E442FF	240-228-66
3	vig2	#F0E442FF	240-228-66
3	Vps60	#F0E442FF	240-228-66
3	ZnT49B	#F0E442FF	240-228-66
4	14-3-3zeta	#0072B2FF	0-114-178
4	5PtaseI	#0072B2FF	0-114-178
4	AdipoR	#0072B2FF	0-114-178
4	AdSS	#0072B2FF	0-114-178
4	AIMP3	#0072B2FF	0-114-178
4	alc	#0072B2FF	0-114-178
4	alpha4GT1	#0072B2FF	0-114-178
4	AMPKalpha	#0072B2FF	0-114-178
4	AP-1-2beta	#0072B2FF	0-114-178
4	Aplip1	#0072B2FF	0-114-178
4	Arf102F	#0072B2FF	0-114-178
4	Arl4	#0072B2FF	0-114-178
4	arm	#0072B2FF	0-114-178
4	Atg1	#0072B2FF	0-114-178
4	Atg101	#0072B2FF	0-114-178
4	Atg18b	#0072B2FF	0-114-178
4	Atg8a	#0072B2FF	0-114-178
4	Atpalpha	#0072B2FF	0-114-178
4	Bet3	#0072B2FF	0-114-178
4	Bgb	#0072B2FF	0-114-178
4	BI-1	#0072B2FF	0-114-178
4	Blos1	#0072B2FF	0-114-178
4	brat	#0072B2FF	0-114-178
4	Bx42	#0072B2FF	0-114-178
4	Caper	#0072B2FF	0-114-178
4	Cbp53E	#0072B2FF	0-114-178
4	CD98hc	#0072B2FF	0-114-178
4	Cdc37	#0072B2FF	0-114-178
4	Cdk5	#0072B2FF	0-114-178
4	Cdk5alpha	#0072B2FF	0-114-178
4	Cds	#0072B2FF	0-114-178
4	CG10508	#0072B2FF	0-114-178
4	CG10674	#0072B2FF	0-114-178
4	CG11050	#0072B2FF	0-114-178
4	CG11099	#0072B2FF	0-114-178
