gene	module	color	rgb
Neb-cGP	3	#F0E442FF	240-228-66
Nmnat	3	#F0E442FF	240-228-66
Non1	3	#F0E442FF	240-228-66
NP15.6	3	#F0E442FF	240-228-66
Opa1	3	#F0E442FF	240-228-66
ox	3	#F0E442FF	240-228-66
P32	3	#F0E442FF	240-228-66
P5CDh1	3	#F0E442FF	240-228-66
P5cr	3	#F0E442FF	240-228-66
Pcyt1	3	#F0E442FF	240-228-66
Pect	3	#F0E442FF	240-228-66
Pex19	3	#F0E442FF	240-228-66
Pfdn2	3	#F0E442FF	240-228-66
Pfdn5	3	#F0E442FF	240-228-66
Pglym78	3	#F0E442FF	240-228-66
Phb2	3	#F0E442FF	240-228-66
PheRS-m	3	#F0E442FF	240-228-66
PhKgamma	3	#F0E442FF	240-228-66
POLDIP2	3	#F0E442FF	240-228-66
porin	3	#F0E442FF	240-228-66
PrBP	3	#F0E442FF	240-228-66
prel	3	#F0E442FF	240-228-66
Prosalpha5	3	#F0E442FF	240-228-66
Prx3	3	#F0E442FF	240-228-66
QIL1	3	#F0E442FF	240-228-66
RFeSP	3	#F0E442FF	240-228-66
RIC-3	3	#F0E442FF	240-228-66
Rim2	3	#F0E442FF	240-228-66
Roe1	3	#F0E442FF	240-228-66
roh	3	#F0E442FF	240-228-66
lncRNA:roX1	3	#F0E442FF	240-228-66
Polr2L	3	#F0E442FF	240-228-66
RpL15	3	#F0E442FF	240-228-66
RpL24-like	3	#F0E442FF	240-228-66
Sam-S	3	#F0E442FF	240-228-66
san	3	#F0E442FF	240-228-66
Scox	3	#F0E442FF	240-228-66
Scsalpha1	3	#F0E442FF	240-228-66
SdhA	3	#F0E442FF	240-228-66
SdhB	3	#F0E442FF	240-228-66
SdhC	3	#F0E442FF	240-228-66
SdhD	3	#F0E442FF	240-228-66
Sem1	3	#F0E442FF	240-228-66
sesB	3	#F0E442FF	240-228-66
Sf3b5	3	#F0E442FF	240-228-66
Sirup	3	#F0E442FF	240-228-66
ScsbetaA	3	#F0E442FF	240-228-66
slmo	3	#F0E442FF	240-228-66
Sod1	3	#F0E442FF	240-228-66
Sod2	3	#F0E442FF	240-228-66
spen	3	#F0E442FF	240-228-66
Ssadh	3	#F0E442FF	240-228-66
Su(P)	3	#F0E442FF	240-228-66
Syngr	3	#F0E442FF	240-228-66
Syx13	3	#F0E442FF	240-228-66
Tim17b	3	#F0E442FF	240-228-66
Tim23	3	#F0E442FF	240-228-66
Tim8	3	#F0E442FF	240-228-66
Tim9a	3	#F0E442FF	240-228-66
Tina-1	3	#F0E442FF	240-228-66
tko	3	#F0E442FF	240-228-66
Tom20	3	#F0E442FF	240-228-66
Tom40	3	#F0E442FF	240-228-66
Tom7	3	#F0E442FF	240-228-66
Tpr2	3	#F0E442FF	240-228-66
Trx-2	3	#F0E442FF	240-228-66
Trxr-1	3	#F0E442FF	240-228-66
Ubc10	3	#F0E442FF	240-228-66
Ufd1	3	#F0E442FF	240-228-66
Urod	3	#F0E442FF	240-228-66
UQCR-11	3	#F0E442FF	240-228-66
UQCR-14	3	#F0E442FF	240-228-66
UQCR-6.4	3	#F0E442FF	240-228-66
UQCR-C1	3	#F0E442FF	240-228-66
UQCR-C2	3	#F0E442FF	240-228-66
UQCR-Q	3	#F0E442FF	240-228-66
Usf	3	#F0E442FF	240-228-66
Vamp7	3	#F0E442FF	240-228-66
VhaM9.7-b	3	#F0E442FF	240-228-66
vig2	3	#F0E442FF	240-228-66
Vps60	3	#F0E442FF	240-228-66
ZnT49B	3	#F0E442FF	240-228-66
14-3-3zeta	4	#0072B2FF	0-114-178
5PtaseI	4	#0072B2FF	0-114-178
AdipoR	4	#0072B2FF	0-114-178
AdSS	4	#0072B2FF	0-114-178
AIMP3	4	#0072B2FF	0-114-178
alc	4	#0072B2FF	0-114-178
alpha4GT1	4	#0072B2FF	0-114-178
AMPKalpha	4	#0072B2FF	0-114-178
AP-1-2beta	4	#0072B2FF	0-114-178
Aplip1	4	#0072B2FF	0-114-178
Arf102F	4	#0072B2FF	0-114-178
Arl4	4	#0072B2FF	0-114-178
arm	4	#0072B2FF	0-114-178
Atg1	4	#0072B2FF	0-114-178
Atg101	4	#0072B2FF	0-114-178
Atg18b	4	#0072B2FF	0-114-178
Atg8a	4	#0072B2FF	0-114-178
Atpalpha	4	#0072B2FF	0-114-178
Bet3	4	#0072B2FF	0-114-178
Bgb	4	#0072B2FF	0-114-178
BI-1	4	#0072B2FF	0-114-178
Blos1	4	#0072B2FF	0-114-178
brat	4	#0072B2FF	0-114-178
Bx42	4	#0072B2FF	0-114-178
Caper	4	#0072B2FF	0-114-178
Cbp53E	4	#0072B2FF	0-114-178
CD98hc	4	#0072B2FF	0-114-178
Cdc37	4	#0072B2FF	0-114-178
Cdk5	4	#0072B2FF	0-114-178
Cdk5alpha	4	#0072B2FF	0-114-178
Cds	4	#0072B2FF	0-114-178
CG10508	4	#0072B2FF	0-114-178
CG10674	4	#0072B2FF	0-114-178
CG11050	4	#0072B2FF	0-114-178
CG11099	4	#0072B2FF	0-114-178
EMC4	4	#0072B2FF	0-114-178
CG11454	4	#0072B2FF	0-114-178
CG1161	4	#0072B2FF	0-114-178
CG11658	4	#0072B2FF	0-114-178
CG12004	4	#0072B2FF	0-114-178
CG12343	4	#0072B2FF	0-114-178
CG12822	4	#0072B2FF	0-114-178
CG13344	4	#0072B2FF	0-114-178
CG13364	4	#0072B2FF	0-114-178
CG13585	4	#0072B2FF	0-114-178
CG13760	4	#0072B2FF	0-114-178
CG13920	4	#0072B2FF	0-114-178
CG13937	4	#0072B2FF	0-114-178
CG14408	4	#0072B2FF	0-114-178
CG14591	4	#0072B2FF	0-114-178
CG14767	4	#0072B2FF	0-114-178
CG14989	4	#0072B2FF	0-114-178
CG15012	4	#0072B2FF	0-114-178
Ypel	4	#0072B2FF	0-114-178
CG15772	4	#0072B2FF	0-114-178
CG1695	4	#0072B2FF	0-114-178
CG17059	4	#0072B2FF	0-114-178
CG17168	4	#0072B2FF	0-114-178
CG17272	4	#0072B2FF	0-114-178
CG17294	4	#0072B2FF	0-114-178
EMC2A	4	#0072B2FF	0-114-178
CG17778	4	#0072B2FF	0-114-178
CG18766	4	#0072B2FF	0-114-178
CG1909	4	#0072B2FF	0-114-178
CG1943	4	#0072B2FF	0-114-178
CG1998	4	#0072B2FF	0-114-178
CG2017	4	#0072B2FF	0-114-178
CG2182	4	#0072B2FF	0-114-178
CG2790	4	#0072B2FF	0-114-178
CG30392	4	#0072B2FF	0-114-178
CG3040	4	#0072B2FF	0-114-178
CG30423	4	#0072B2FF	0-114-178
CG31030	4	#0072B2FF	0-114-178
Ifrd1	4	#0072B2FF	0-114-178
CG31715	4	#0072B2FF	0-114-178
CG31717	4	#0072B2FF	0-114-178
CG31808	4	#0072B2FF	0-114-178
CG31855	4	#0072B2FF	0-114-178
Svip	4	#0072B2FF	0-114-178
CG32109	4	#0072B2FF	0-114-178
CG32276	4	#0072B2FF	0-114-178
CG32485	4	#0072B2FF	0-114-178
CG33181	4	#0072B2FF	0-114-178
CG34125	4	#0072B2FF	0-114-178
CG34159	4	#0072B2FF	0-114-178
CG34293	4	#0072B2FF	0-114-178
CG3436	4	#0072B2FF	0-114-178
CG34404	4	#0072B2FF	0-114-178
CG3625	4	#0072B2FF	0-114-178
CG3662	4	#0072B2FF	0-114-178
CG3703	4	#0072B2FF	0-114-178
CG3793	4	#0072B2FF	0-114-178
CG3860	4	#0072B2FF	0-114-178
CG3907	4	#0072B2FF	0-114-178
CG3955	4	#0072B2FF	0-114-178
Atat	4	#0072B2FF	0-114-178
CG42322	4	#0072B2FF	0-114-178
CG42361	4	#0072B2FF	0-114-178
hbt	4	#0072B2FF	0-114-178
CG4502	4	#0072B2FF	0-114-178
CG45049	4	#0072B2FF	0-114-178
MICU3	4	#0072B2FF	0-114-178
CG4678	4	#0072B2FF	0-114-178
Agpat3	4	#0072B2FF	0-114-178
CG5021	4	#0072B2FF	0-114-178
CG5805	4	#0072B2FF	0-114-178
CG5902	4	#0072B2FF	0-114-178
CG5934	4	#0072B2FF	0-114-178
CG5938	4	#0072B2FF	0-114-178
Uck	4	#0072B2FF	0-114-178
CG6443	4	#0072B2FF	0-114-178
Hou	4	#0072B2FF	0-114-178
Prps	4	#0072B2FF	0-114-178
CG7220	4	#0072B2FF	0-114-178
CG7332	4	#0072B2FF	0-114-178
CG7407	4	#0072B2FF	0-114-178
CG7582	4	#0072B2FF	0-114-178
CG7739	4	#0072B2FF	0-114-178
CG7781	4	#0072B2FF	0-114-178
Nulp1	4	#0072B2FF	0-114-178
Ae2	4	#0072B2FF	0-114-178
mrva	4	#0072B2FF	0-114-178
sordd1	4	#0072B2FF	0-114-178
CG9328	4	#0072B2FF	0-114-178
CG9853	4	#0072B2FF	0-114-178
Chd64	4	#0072B2FF	0-114-178
Chmp1	4	#0072B2FF	0-114-178
CkIalpha	4	#0072B2FF	0-114-178
lncRNA:CR30055	4	#0072B2FF	0-114-178
lncRNA:CR43459	4	#0072B2FF	0-114-178
Csp	4	#0072B2FF	0-114-178
ctp	4	#0072B2FF	0-114-178
DCTN5-p25	4	#0072B2FF	0-114-178
Den1	4	#0072B2FF	0-114-178
Dlc90F	4	#0072B2FF	0-114-178
DnaJ-1	4	#0072B2FF	0-114-178
Drat	4	#0072B2FF	0-114-178
eff	4	#0072B2FF	0-114-178
eIF2Bbeta	4	#0072B2FF	0-114-178
MsrA	4	#0072B2FF	0-114-178
emc	4	#0072B2FF	0-114-178
EndoA	4	#0072B2FF	0-114-178
endos	4	#0072B2FF	0-114-178
Eno	4	#0072B2FF	0-114-178
sotv	4	#0072B2FF	0-114-178
Fas1	4	#0072B2FF	0-114-178
Fis1	4	#0072B2FF	0-114-178
Fkbp12	4	#0072B2FF	0-114-178
fs(1)h	4	#0072B2FF	0-114-178
futsch	4	#0072B2FF	0-114-178
fwe	4	#0072B2FF	0-114-178
gammaSnap1	4	#0072B2FF	0-114-178
Gapdh1	4	#0072B2FF	0-114-178
Gapdh2	4	#0072B2FF	0-114-178
Gbeta5	4	#0072B2FF	0-114-178
Ggamma1	4	#0072B2FF	0-114-178
ghi	4	#0072B2FF	0-114-178
Arl8	4	#0072B2FF	0-114-178
Glut4EF	4	#0072B2FF	0-114-178
GlyP	4	#0072B2FF	0-114-178
gzl	4	#0072B2FF	0-114-178
Grx1	4	#0072B2FF	0-114-178
Gycalpha99B	4	#0072B2FF	0-114-178
HDAC4	4	#0072B2FF	0-114-178
His3.3A	4	#0072B2FF	0-114-178
HmgZ	4	#0072B2FF	0-114-178
HPS1	4	#0072B2FF	0-114-178
Hr38	4	#0072B2FF	0-114-178
Hsp23	4	#0072B2FF	0-114-178
Hsp26	4	#0072B2FF	0-114-178
lncRNA:Hsromega	4	#0072B2FF	0-114-178
igl	4	#0072B2FF	0-114-178
Inos	4	#0072B2FF	0-114-178
jagn	4	#0072B2FF	0-114-178
jdp	4	#0072B2FF	0-114-178
jim	4	#0072B2FF	0-114-178
Kank	4	#0072B2FF	0-114-178
Kap-alpha3	4	#0072B2FF	0-114-178
kcc	4	#0072B2FF	0-114-178
KLHL18	4	#0072B2FF	0-114-178
l(1)G0196	4	#0072B2FF	0-114-178
Ttc7	4	#0072B2FF	0-114-178
l(2)SH0834	4	#0072B2FF	0-114-178
Lamp1	4	#0072B2FF	0-114-178
lap	4	#0072B2FF	0-114-178
lawc	4	#0072B2FF	0-114-178
lola	4	#0072B2FF	0-114-178
lolal	4	#0072B2FF	0-114-178
lwr	4	#0072B2FF	0-114-178
maf-S	4	#0072B2FF	0-114-178
Mapmodulin	4	#0072B2FF	0-114-178
mbf1	4	#0072B2FF	0-114-178
MESK2	4	#0072B2FF	0-114-178
Mlf	4	#0072B2FF	0-114-178
mlt	4	#0072B2FF	0-114-178
Mob2	4	#0072B2FF	0-114-178
lncRNA:CR34335	4	#0072B2FF	0-114-178
Ndfip	4	#0072B2FF	0-114-178
Nipped-B	4	#0072B2FF	0-114-178
nrv2	4	#0072B2FF	0-114-178
nSyb	4	#0072B2FF	0-114-178
Ntf-2	4	#0072B2FF	0-114-178
Nxt1	4	#0072B2FF	0-114-178
Obp44a	4	#0072B2FF	0-114-178
Oda	4	#0072B2FF	0-114-178
Oli	4	#0072B2FF	0-114-178
p	4	#0072B2FF	0-114-178
Pcf11	4	#0072B2FF	0-114-178
Pcmt	4	#0072B2FF	0-114-178
Pfdn1	4	#0072B2FF	0-114-178
Pfdn4	4	#0072B2FF	0-114-178
Pfdn6	4	#0072B2FF	0-114-178
Pgi	4	#0072B2FF	0-114-178
Pgk	4	#0072B2FF	0-114-178
phtf	4	#0072B2FF	0-114-178
Pis	4	#0072B2FF	0-114-178
Pka-R1	4	#0072B2FF	0-114-178
Pka-R2	4	#0072B2FF	0-114-178
Pkc98E	4	#0072B2FF	0-114-178
PMCA	4	#0072B2FF	0-114-178
Pomp	4	#0072B2FF	0-114-178
Pp1alpha-96A	4	#0072B2FF	0-114-178
Pp2A-29B	4	#0072B2FF	0-114-178
PPP1R15	4	#0072B2FF	0-114-178
Pur-alpha	4	#0072B2FF	0-114-178
PyK	4	#0072B2FF	0-114-178
qkr58E-3	4	#0072B2FF	0-114-178
qtc	4	#0072B2FF	0-114-178
Rab1	4	#0072B2FF	0-114-178
Rab14	4	#0072B2FF	0-114-178
Rab18	4	#0072B2FF	0-114-178
Rab2	4	#0072B2FF	0-114-178
Rab3	4	#0072B2FF	0-114-178
Rab4	4	#0072B2FF	0-114-178
Rab5	4	#0072B2FF	0-114-178
Rab7	4	#0072B2FF	0-114-178
RabX4	4	#0072B2FF	0-114-178
Rad23	4	#0072B2FF	0-114-178
rdx	4	#0072B2FF	0-114-178
ReepA	4	#0072B2FF	0-114-178
ref(2)P	4	#0072B2FF	0-114-178
REPTOR-BP	4	#0072B2FF	0-114-178
Rheb	4	#0072B2FF	0-114-178
Rlip	4	#0072B2FF	0-114-178
Rm62	4	#0072B2FF	0-114-178
RNASEK	4	#0072B2FF	0-114-178
robl	4	#0072B2FF	0-114-178
Roc1a	4	#0072B2FF	0-114-178
Rop	4	#0072B2FF	0-114-178
Rpn10	4	#0072B2FF	0-114-178
Rpn11	4	#0072B2FF	0-114-178
Rpn5	4	#0072B2FF	0-114-178
Rpt4	4	#0072B2FF	0-114-178
Rtf1	4	#0072B2FF	0-114-178
SamDC	4	#0072B2FF	0-114-178
Sap47	4	#0072B2FF	0-114-178
sau	4	#0072B2FF	0-114-178
sbb	4	#0072B2FF	0-114-178
SCCRO	4	#0072B2FF	0-114-178
SelR	4	#0072B2FF	0-114-178
Sh	4	#0072B2FF	0-114-178
shi	4	#0072B2FF	0-114-178
shrb	4	#0072B2FF	0-114-178
sigmar	4	#0072B2FF	0-114-178
SkpA	4	#0072B2FF	0-114-178
slmb	4	#0072B2FF	0-114-178
slo	4	#0072B2FF	0-114-178
Socs36E	4	#0072B2FF	0-114-178
sqh	4	#0072B2FF	0-114-178
sra	4	#0072B2FF	0-114-178
ssx	4	#0072B2FF	0-114-178
stmA	4	#0072B2FF	0-114-178
STUB1	4	#0072B2FF	0-114-178
stv	4	#0072B2FF	0-114-178
Syt7	4	#0072B2FF	0-114-178
Syx17	4	#0072B2FF	0-114-178
Syx6	4	#0072B2FF	0-114-178
Syx7	4	#0072B2FF	0-114-178
Tango11	4	#0072B2FF	0-114-178
Tango9	4	#0072B2FF	0-114-178
TBC1D16	4	#0072B2FF	0-114-178
TfIIA-S	4	#0072B2FF	0-114-178
TM4SF	4	#0072B2FF	0-114-178
Serinc	4	#0072B2FF	0-114-178
Tpi	4	#0072B2FF	0-114-178
Trp1	4	#0072B2FF	0-114-178
Trs20	4	#0072B2FF	0-114-178
Trs31	4	#0072B2FF	0-114-178
Tsp42Ee	4	#0072B2FF	0-114-178
Tsp42Ej	4	#0072B2FF	0-114-178
Ubc4	4	#0072B2FF	0-114-178
Ubc6	4	#0072B2FF	0-114-178
UbcE2H	4	#0072B2FF	0-114-178
UbcE2M	4	#0072B2FF	0-114-178
Ubi-p5E	4	#0072B2FF	0-114-178
Ubi-p63E	4	#0072B2FF	0-114-178
UBL3	4	#0072B2FF	0-114-178
Usp14	4	#0072B2FF	0-114-178
veli	4	#0072B2FF	0-114-178
Vha100-1	4	#0072B2FF	0-114-178
Vha13	4	#0072B2FF	0-114-178
Vha14-1	4	#0072B2FF	0-114-178
Vha16-1	4	#0072B2FF	0-114-178
Vha36-1	4	#0072B2FF	0-114-178
Vha44	4	#0072B2FF	0-114-178
Vha55	4	#0072B2FF	0-114-178
Vha68-1	4	#0072B2FF	0-114-178
VhaAC39-1	4	#0072B2FF	0-114-178
VhaAC45	4	#0072B2FF	0-114-178
ATP6AP2	4	#0072B2FF	0-114-178
VhaM9.7-a	4	#0072B2FF	0-114-178
VhaPPA1-1	4	#0072B2FF	0-114-178
VhaSFD	4	#0072B2FF	0-114-178
vig	4	#0072B2FF	0-114-178
vih	4	#0072B2FF	0-114-178
Vps24	4	#0072B2FF	0-114-178
Vps28	4	#0072B2FF	0-114-178
Vps37B	4	#0072B2FF	0-114-178
Vti1a	4	#0072B2FF	0-114-178
Vti1b	4	#0072B2FF	0-114-178
Wbp2	4	#0072B2FF	0-114-178
Yeti	4	#0072B2FF	0-114-178
Yippee	4	#0072B2FF	0-114-178
cass	5	#D55E00FF	213-94-0
Acn	5	#D55E00FF	213-94-0
Act5C	5	#D55E00FF	213-94-0
alphaTub84B	5	#D55E00FF	213-94-0
Ank2	5	#D55E00FF	213-94-0
AP-1gamma	5	#D55E00FF	213-94-0
ari-1	5	#D55E00FF	213-94-0
awd	5	#D55E00FF	213-94-0
bcn92	5	#D55E00FF	213-94-0
betaTub56D	5	#D55E00FF	213-94-0
Blimp-1	5	#D55E00FF	213-94-0
Bsg	5	#D55E00FF	213-94-0
bun	5	#D55E00FF	213-94-0
Calr	5	#D55E00FF	213-94-0
CaMKII	5	#D55E00FF	213-94-0
cathD	5	#D55E00FF	213-94-0
caz	5	#D55E00FF	213-94-0
CG10077	5	#D55E00FF	213-94-0
CG11155	5	#D55E00FF	213-94-0
CG11360	5	#D55E00FF	213-94-0
CG12605	5	#D55E00FF	213-94-0
CG15098	5	#D55E00FF	213-94-0
CG1677	5	#D55E00FF	213-94-0
CG17321	5	#D55E00FF	213-94-0
l(3)80Fj	5	#D55E00FF	213-94-0
HINT1	5	#D55E00FF	213-94-0
CG2918	5	#D55E00FF	213-94-0
CG31650	5	#D55E00FF	213-94-0
CG31712	5	#D55E00FF	213-94-0
EMC10	5	#D55E00FF	213-94-0
CG32486	5	#D55E00FF	213-94-0
Rnf11	5	#D55E00FF	213-94-0
CG33229	5	#D55E00FF	213-94-0
Dpm3	5	#D55E00FF	213-94-0
CG42450	5	#D55E00FF	213-94-0
CG42724	5	#D55E00FF	213-94-0
CG45050	5	#D55E00FF	213-94-0
CG4887	5	#D55E00FF	213-94-0
CG5746	5	#D55E00FF	213-94-0
CG6770	5	#D55E00FF	213-94-0
CG9005	5	#D55E00FF	213-94-0
CG9813	5	#D55E00FF	213-94-0
aqz	5	#D55E00FF	213-94-0
ERp44	5	#D55E00FF	213-94-0
chinmo	5	#D55E00FF	213-94-0
CHOp24	5	#D55E00FF	213-94-0
chrb	5	#D55E00FF	213-94-0
cic	5	#D55E00FF	213-94-0
CNBP	5	#D55E00FF	213-94-0
Cyp1	5	#D55E00FF	213-94-0
dnc	5	#D55E00FF	213-94-0
Dyb	5	#D55E00FF	213-94-0
dysc	5	#D55E00FF	213-94-0
eEF1alpha1	5	#D55E00FF	213-94-0
eEF1alpha2	5	#D55E00FF	213-94-0
eEF1beta	5	#D55E00FF	213-94-0
eEF1gamma	5	#D55E00FF	213-94-0
egh	5	#D55E00FF	213-94-0
eIF3b	5	#D55E00FF	213-94-0
eIF3c	5	#D55E00FF	213-94-0
eIF3f1	5	#D55E00FF	213-94-0
eIF3h	5	#D55E00FF	213-94-0
eIF3i	5	#D55E00FF	213-94-0
eIF3k	5	#D55E00FF	213-94-0
eIF3l	5	#D55E00FF	213-94-0
eIF3m	5	#D55E00FF	213-94-0
eIF4H1	5	#D55E00FF	213-94-0
Eip75B	5	#D55E00FF	213-94-0
elav	5	#D55E00FF	213-94-0
flw	5	#D55E00FF	213-94-0
fne	5	#D55E00FF	213-94-0
fok	5	#D55E00FF	213-94-0
FoxP	5	#D55E00FF	213-94-0
fru	5	#D55E00FF	213-94-0
ftz-f1	5	#D55E00FF	213-94-0
G9a	5	#D55E00FF	213-94-0
GCS2alpha	5	#D55E00FF	213-94-0
glec	5	#D55E00FF	213-94-0
gw	5	#D55E00FF	213-94-0
Hel25E	5	#D55E00FF	213-94-0
His4r	5	#D55E00FF	213-94-0
HmgD	5	#D55E00FF	213-94-0
Hrb27C	5	#D55E00FF	213-94-0
Hrb87F	5	#D55E00FF	213-94-0
Hrb98DE	5	#D55E00FF	213-94-0
Hsc70-3	5	#D55E00FF	213-94-0
Hsc70-4	5	#D55E00FF	213-94-0
Jafrac1	5	#D55E00FF	213-94-0
l(1)G0320	5	#D55E00FF	213-94-0
l(3)L1231	5	#D55E00FF	213-94-0
Lk6	5	#D55E00FF	213-94-0
lost	5	#D55E00FF	213-94-0
MED21	5	#D55E00FF	213-94-0
MFS17	5	#D55E00FF	213-94-0
Mnn1	5	#D55E00FF	213-94-0
Msp300	5	#D55E00FF	213-94-0
mtd	5	#D55E00FF	213-94-0
mts	5	#D55E00FF	213-94-0
Nacalpha	5	#D55E00FF	213-94-0
nAChRalpha5	5	#D55E00FF	213-94-0
nej	5	#D55E00FF	213-94-0
lncRNA:noe	5	#D55E00FF	213-94-0
norpA	5	#D55E00FF	213-94-0
Nurf-38	5	#D55E00FF	213-94-0
orb2	5	#D55E00FF	213-94-0
p120ctn	5	#D55E00FF	213-94-0
pAbp	5	#D55E00FF	213-94-0
para	5	#D55E00FF	213-94-0
Pep	5	#D55E00FF	213-94-0
PHGPx	5	#D55E00FF	213-94-0
phyl	5	#D55E00FF	213-94-0
PPP4R2r	5	#D55E00FF	213-94-0
Prosap	5	#D55E00FF	213-94-0
prtp	5	#D55E00FF	213-94-0
Rack1	5	#D55E00FF	213-94-0
Rbp1	5	#D55E00FF	213-94-0
Rbp1-like	5	#D55E00FF	213-94-0
rdgB	5	#D55E00FF	213-94-0
Rdh	5	#D55E00FF	213-94-0
RhoGDI	5	#D55E00FF	213-94-0
rin	5	#D55E00FF	213-94-0
ringer	5	#D55E00FF	213-94-0
rl	5	#D55E00FF	213-94-0
RpL10Ab	5	#D55E00FF	213-94-0
RpL12	5	#D55E00FF	213-94-0
RpL13	5	#D55E00FF	213-94-0
RpL13A	5	#D55E00FF	213-94-0
RpL14	5	#D55E00FF	213-94-0
RpL17	5	#D55E00FF	213-94-0
RpL18	5	#D55E00FF	213-94-0
RpL18A	5	#D55E00FF	213-94-0
RpL21	5	#D55E00FF	213-94-0
RpL22	5	#D55E00FF	213-94-0
RpL23A	5	#D55E00FF	213-94-0
RpL26	5	#D55E00FF	213-94-0
RpL27	5	#D55E00FF	213-94-0
RpL27A	5	#D55E00FF	213-94-0
RpL28	5	#D55E00FF	213-94-0
RpL29	5	#D55E00FF	213-94-0
RpL3	5	#D55E00FF	213-94-0
RpL30	5	#D55E00FF	213-94-0
RpL31	5	#D55E00FF	213-94-0
RpL32	5	#D55E00FF	213-94-0
RpL34a	5	#D55E00FF	213-94-0
RpL34b	5	#D55E00FF	213-94-0
RpL35	5	#D55E00FF	213-94-0
RpL35A	5	#D55E00FF	213-94-0
RpL36A	5	#D55E00FF	213-94-0
RpL38	5	#D55E00FF	213-94-0
RpL39	5	#D55E00FF	213-94-0
RpL4	5	#D55E00FF	213-94-0
RpL40	5	#D55E00FF	213-94-0
RpL41	5	#D55E00FF	213-94-0
RpL5	5	#D55E00FF	213-94-0
RpL6	5	#D55E00FF	213-94-0
RpL7	5	#D55E00FF	213-94-0
RpL7A	5	#D55E00FF	213-94-0
RpL8	5	#D55E00FF	213-94-0
RpL9	5	#D55E00FF	213-94-0
RpLP0	5	#D55E00FF	213-94-0
RpLP1	5	#D55E00FF	213-94-0
RpLP2	5	#D55E00FF	213-94-0
RpS10b	5	#D55E00FF	213-94-0
RpS11	5	#D55E00FF	213-94-0
RpS12	5	#D55E00FF	213-94-0
RpS13	5	#D55E00FF	213-94-0
RpS14a	5	#D55E00FF	213-94-0
RpS14b	5	#D55E00FF	213-94-0
RpS15	5	#D55E00FF	213-94-0
RpS15Aa	5	#D55E00FF	213-94-0
RpS16	5	#D55E00FF	213-94-0
RpS17	5	#D55E00FF	213-94-0
RpS19a	5	#D55E00FF	213-94-0
RpS2	5	#D55E00FF	213-94-0
RpS20	5	#D55E00FF	213-94-0
RpS21	5	#D55E00FF	213-94-0
RpS23	5	#D55E00FF	213-94-0
RpS24	5	#D55E00FF	213-94-0
RpS25	5	#D55E00FF	213-94-0
RpS26	5	#D55E00FF	213-94-0
RpS27A	5	#D55E00FF	213-94-0
RpS28b	5	#D55E00FF	213-94-0
RpS29	5	#D55E00FF	213-94-0
RpS3	5	#D55E00FF	213-94-0
RpS30	5	#D55E00FF	213-94-0
RpS3A	5	#D55E00FF	213-94-0
RpS4	5	#D55E00FF	213-94-0
RpS5a	5	#D55E00FF	213-94-0
RpS6	5	#D55E00FF	213-94-0
RpS8	5	#D55E00FF	213-94-0
RpS9	5	#D55E00FF	213-94-0
Rsf1	5	#D55E00FF	213-94-0
rudhira	5	#D55E00FF	213-94-0
scyl	5	#D55E00FF	213-94-0
Sec61beta	5	#D55E00FF	213-94-0
Septin4	5	#D55E00FF	213-94-0
sgg	5	#D55E00FF	213-94-0
shot	5	#D55E00FF	213-94-0
sif	5	#D55E00FF	213-94-0
simj	5	#D55E00FF	213-94-0
sky	5	#D55E00FF	213-94-0
SmE	5	#D55E00FF	213-94-0
Sumo	5	#D55E00FF	213-94-0
Snap25	5	#D55E00FF	213-94-0
sqd	5	#D55E00FF	213-94-0
Ssb-c31a	5	#D55E00FF	213-94-0
sta	5	#D55E00FF	213-94-0
Su(var)205	5	#D55E00FF	213-94-0
su(w[a])	5	#D55E00FF	213-94-0
Sxl	5	#D55E00FF	213-94-0
Syp	5	#D55E00FF	213-94-0
Syx1A	5	#D55E00FF	213-94-0
Tapdelta	5	#D55E00FF	213-94-0
Tctp	5	#D55E00FF	213-94-0
ThrRS	5	#D55E00FF	213-94-0
Tspo	5	#D55E00FF	213-94-0
Uhg4	5	#D55E00FF	213-94-0
Uhg5	5	#D55E00FF	213-94-0
Unr	5	#D55E00FF	213-94-0
viaf	5	#D55E00FF	213-94-0
wdb	5	#D55E00FF	213-94-0
Xe7	5	#D55E00FF	213-94-0
Xrp1	5	#D55E00FF	213-94-0
yps	5	#D55E00FF	213-94-0
ytr	5	#D55E00FF	213-94-0
lncRNA:alphagamma-element:CR32865	6	#CC79A7FF	204-121-167
Ctr9	6	#CC79A7FF	204-121-167
Hsc70Cb	6	#CC79A7FF	204-121-167
Hsp68	6	#CC79A7FF	204-121-167
Hsp83	6	#CC79A7FF	204-121-167
l(1)G0469	6	#CC79A7FF	204-121-167
